Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    7.388518E-05    2.401066E-09
2.083333E-05    -4.614546E-04   1.637090E-10
4.166667E-05    1.940490E-04    2.695742E-09
6.250000E-05    -2.196178E-04   -2.401066E-10
8.333333E-05    1.470354E-04    -1.072062E-09
1.041667E-04    -1.086732E-04   -7.687548E-10
1.250000E-04    -2.200865E-05   -9.398469E-10
1.458333E-04    4.172932E-05    -2.315823E-10
1.666667E-04    -1.379931E-04   -7.712515E-10
1.875000E-04    7.241775E-05    -1.327862E-09
2.083333E-04    -8.131728E-05   -5.566108E-10
2.291667E-04    3.206244E-05    -6.402843E-10
2.500000E-04    7.207345E-06    9.263291E-10
2.708333E-04    -1.069504E-04   6.636636E-11
2.916667E-04    1.591017E-04    9.416123E-10
3.125000E-04    -1.100858E-04   -1.703608E-10
3.333333E-04    7.620863E-05    7.227094E-10
3.541667E-04    -5.938464E-05   4.256435E-10
3.750000E-04    1.672469E-05    -5.408105E-10
3.958333E-04    1.003006E-04    1.357465E-10
4.166667E-04    -7.442728E-05   5.689245E-10
4.375000E-04    -1.485264E-04   -1.797235E-10
4.583333E-04    -2.398306E-04   -7.816300E-11
4.791667E-04    -7.665582E-05   2.287950E-09
5.000000E-04    1.358974E-05    -9.849652E-10
5.208333E-04    -6.604868E-05   -1.859007E-09
5.416666E-04    1.149236E-04    3.190008E-10
5.625000E-04    -5.598884E-05   2.728484E-10
5.833333E-04    1.423102E-04    3.615154E-10
6.041666E-04    1.702007E-04    -2.343375E-10
6.250000E-04    -9.216426E-06   2.526843E-10
6.458333E-04    8.896692E-05    -2.898435E-10
6.666667E-04    -2.887424E-04   -2.473826E-10
6.875000E-04    -7.324709E-05   -8.967618E-10
7.083333E-04    6.396789E-05    1.928129E-10
7.291667E-04    -2.939833E-05   -8.560619E-10
7.500000E-04    -1.307781E-06   -5.991252E-10
7.708333E-04    -2.255777E-04   6.646089E-10
7.916667E-04    2.174845E-04    6.463119E-10
8.125000E-04    8.314879E-05    -5.735523E-10
8.333334E-04    2.210800E-06    -1.062290E-09
8.541666E-04    6.125656E-05    -9.150654E-10
8.750000E-04    -1.320375E-04   -2.291927E-10
8.958333E-04    2.591575E-04    -1.349690E-09
9.166666E-04    -1.897507E-04   -1.627532E-09
9.375000E-04    5.693466E-05    8.091826E-11
9.583333E-04    -3.748943E-05   -1.061256E-10
9.791667E-04    -4.910134E-05   -5.850904E-10
9.999999E-04    1.655199E-04    -8.524292E-12
1.020833E-03    -1.655907E-04   3.751753E-10
1.041667E-03    1.910249E-04    1.198143E-09
1.062500E-03    -6.756471E-05   6.132136E-10
1.083333E-03    3.681520E-05    -3.974224E-10
1.104167E-03    1.320055E-04    2.723489E-10
1.125000E-03    -7.738543E-05   -9.162721E-11
1.145833E-03    1.939950E-04    4.453135E-10
1.166667E-03    -2.150716E-04   2.042261E-09
1.187500E-03    1.130170E-04    1.409541E-10
1.208333E-03    -4.933518E-05   -3.481047E-10
1.229167E-03    -1.877583E-05   6.071141E-10
1.250000E-03    7.175670E-05    -1.035468E-09
1.270833E-03    5.241804E-06    2.748280E-10
1.291667E-03    1.429630E-04    6.254240E-10
1.312500E-03    -7.326027E-06   1.245598E-09
1.333333E-03    -2.121084E-04   1.030724E-09
1.354167E-03    -7.538276E-05   -2.640212E-10
1.375000E-03    -3.248380E-06   7.522416E-10
1.395833E-03    2.107491E-04    -2.449929E-10
1.416667E-03    -2.084810E-04   -1.478375E-09
1.437500E-03    -3.173597E-05   -8.157180E-10
1.458333E-03    1.184438E-04    1.655105E-10
1.479167E-03    1.495212E-04    -3.926875E-10
1.500000E-03    9.121465E-05    2.498793E-10
1.520833E-03    -2.896871E-04   3.721817E-11
1.541667E-03    -1.820865E-04   2.221309E-10
1.562500E-03    1.420136E-04    -1.617478E-10
1.583333E-03    -7.798961E-05   -2.758807E-10
1.604167E-03    1.532843E-04    8.250272E-10
1.625000E-03    -2.975460E-04   -3.346941E-10
1.645833E-03    1.606363E-04    3.168342E-10
1.666667E-03    -5.365481E-05   -3.086040E-10
1.687500E-03    2.096942E-05    1.512882E-10
