Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    1.816573E-05    -1.200533E-09
2.083333E-05    1.486034E-04    -9.385985E-10
4.166667E-05    -2.768062E-05   1.207809E-09
6.250000E-05    3.425973E-05    7.275958E-11
8.333333E-05    -3.938598E-05   1.292677E-09
1.041667E-04    7.905815E-05    1.712168E-10
1.250000E-04    2.418484E-05    1.713488E-09
1.458333E-04    -1.033325E-04   5.863388E-10
1.666667E-04    4.114052E-05    1.455192E-11
1.875000E-04    -1.060831E-04   -8.949428E-10
2.083333E-04    1.515609E-04    -9.495125E-10
2.291667E-04    -1.231529E-04   -6.621121E-10
2.500000E-04    5.555774E-05    -1.818989E-10
2.708333E-04    -3.491336E-05   -1.721263E-10
2.916667E-04    -1.178664E-05   -1.222361E-09
3.125000E-04    5.042313E-05    -1.171429E-09
3.333333E-04    -5.931516E-05   7.614788E-10
3.541667E-04    4.744846E-05    1.621076E-09
3.750000E-04    -3.445686E-05   1.605383E-09
3.958333E-04    3.868209E-05    -5.403378E-10
4.166667E-04    3.462140E-05    7.737123E-10
4.375000E-04    -4.967747E-05   1.504055E-10
4.583333E-04    8.789627E-05    2.698346E-10
4.791667E-04    -4.565073E-05   3.389562E-10
5.000000E-04    6.797466E-05    -9.488883E-10
5.208333E-04    -5.394738E-05   -2.429246E-10
5.416666E-04    -1.102594E-04   -1.168881E-10
5.625000E-04    -1.747620E-04   1.656207E-09
5.833333E-04    -9.398864E-05   6.634676E-10
6.041666E-04    -2.912972E-05   8.133376E-10
6.250000E-04    7.553850E-05    1.325151E-09
6.458333E-04    9.784533E-06    -4.115902E-11
6.666667E-04    8.767602E-05    -2.360139E-09
6.875000E-04    1.165101E-04    -6.039045E-10
7.083333E-04    6.384841E-05    -3.856258E-10
7.291667E-04    1.203086E-04    -4.802132E-10
7.500000E-04    -1.415535E-04   2.302268E-11
7.708333E-04    5.900986E-05    9.661152E-10
7.916667E-04    -2.972516E-04   -2.219167E-10
8.125000E-04    7.662607E-05    8.555492E-10
8.333334E-04    -9.367705E-05   1.004082E-09
8.541666E-04    2.607760E-05    -4.292815E-10
8.750000E-04    -2.778701E-05   1.031367E-09
8.958333E-04    -8.951063E-05   4.292815E-10
9.166666E-04    2.601076E-04    -5.748007E-10
