Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    -1.017385E-04   -2.255547E-10
2.083333E-05    -9.190268E-05   -1.818989E-10
4.166667E-05    3.090457E-05    -5.929905E-10
6.250000E-05    6.642229E-05    4.220055E-10
8.333333E-05    -2.398551E-05   7.764592E-11
1.041667E-04    -3.158909E-05   -5.061961E-11
1.250000E-04    2.276855E-06    -8.460978E-11
1.458333E-04    8.608877E-07    -1.704863E-11
1.666667E-04    2.817681E-05    5.020411E-10
1.875000E-04    -7.388818E-05   2.319211E-10
2.083333E-04    8.625215E-06    6.320988E-10
2.291667E-04    -5.302318E-05   -4.220055E-10
2.500000E-04    4.492669E-05    -2.100665E-10
2.708333E-04    -2.180222E-05   -7.036368E-10
2.916667E-04    9.010066E-06    -9.343364E-10
3.125000E-04    -2.254781E-05   -3.321973E-10
3.333333E-04    -1.521543E-05   -9.003462E-10
3.541667E-04    5.884520E-05    -7.535030E-10
3.750000E-04    -4.082944E-06   3.924225E-10
3.958333E-04    1.959898E-05    7.503064E-10
4.166667E-04    -4.893311E-05   3.593529E-10
4.375000E-04    4.616977E-05    2.574138E-10
4.583333E-04    1.860638E-05    4.129831E-10
4.791667E-04    -1.106491E-06   5.336416E-10
5.000000E-04    2.138656E-05    3.216490E-10
5.208333E-04    -3.981845E-05   -2.619345E-10
5.416666E-04    1.075584E-04    -7.073558E-11
5.625000E-04    -1.138066E-05   1.255324E-10
5.833333E-04    -3.969494E-05   -2.222823E-10
6.041666E-04    -1.332978E-04   8.060709E-10
6.250000E-04    -2.888180E-05   2.285685E-10
6.458333E-04    6.037951E-05    9.993205E-10
6.666667E-04    -1.813818E-05   -3.637979E-11
6.875000E-04    4.210207E-05    6.511982E-10
7.083333E-04    -8.112308E-05   -5.911716E-10
7.291667E-04    1.311017E-04    -1.040462E-09
7.500000E-04    3.577230E-05    -5.917422E-10
7.708333E-04    5.773308E-05    1.003565E-10
7.916667E-04    -2.489732E-05   -2.374049E-10
8.125000E-04    -1.156749E-04   -2.617027E-10
8.333334E-04    1.230935E-05    -5.602487E-10
8.541666E-04    -1.538693E-05   -3.910827E-11
8.750000E-04    8.997211E-05    1.864464E-10
8.958333E-04    -8.528706E-05   3.637979E-11
9.166666E-04    -3.122416E-05   5.284432E-10
9.375000E-04    4.244311E-05    3.677479E-10
9.583333E-04    4.335397E-05    5.519385E-11
9.791667E-04    5.013238E-05    -7.687548E-10
9.999999E-04    -8.128981E-05   -2.424962E-10
1.020833E-03    5.273696E-05    -9.741843E-11
1.041667E-03    2.939531E-05    -3.765465E-10
1.062500E-03    -3.111250E-06   -1.907889E-10
1.083333E-03    -1.579410E-05   3.266111E-10
1.104167E-03    -5.910212E-05   -7.143550E-11
1.125000E-03    7.658789E-05    -2.089945E-11
1.145833E-03    -2.248955E-05   -2.522689E-10
1.166667E-03    2.117600E-06    3.516356E-10
1.187500E-03    -4.036422E-05   1.485865E-10
1.208333E-03    9.505624E-06    2.871418E-10
1.229167E-03    3.910085E-05    2.055356E-12
1.250000E-03    -1.383884E-05   -9.183219E-11
1.270833E-03    1.209100E-05    2.326478E-10
1.291667E-03    -4.686340E-05   6.953710E-10
1.312500E-03    3.331603E-06    -5.130621E-10
1.333333E-03    -3.082270E-06   -1.683812E-10
1.354167E-03    -2.676443E-05   2.506105E-10
1.375000E-03    -1.451463E-05   -9.198732E-10
1.395833E-03    -6.572773E-07   -2.910383E-11
1.416667E-03    5.183179E-05    -8.960321E-11
1.437500E-03    -1.418620E-05   3.276831E-10
1.458333E-03    -9.104086E-06   6.676670E-10
1.479167E-03    -1.234273E-04   5.048407E-10
1.500000E-03    -3.489837E-05   5.093170E-11
1.520833E-03    -2.285297E-05   -7.044108E-11
1.541667E-03    6.596983E-05    1.344270E-10
1.562500E-03    -5.404958E-05   -3.167183E-10
1.583333E-03    -2.008466E-05   1.056528E-10
1.604167E-03    3.868625E-05    -2.681211E-11
1.625000E-03    5.230650E-05    3.486218E-10
1.645833E-03    2.112669E-05    4.737128E-10
1.666667E-03    -1.503825E-04   -2.783767E-10
1.687500E-03    -8.655671E-05   -3.781134E-10
1.708333E-03    -2.262742E-05   3.426764E-10
1.729167E-03    -3.303663E-06   -2.426477E-10
1.750000E-03    1.763502E-05    2.581137E-10
1.770833E-03    -1.133549E-04   -6.564426E-11
1.791667E-03    7.176863E-05    -1.344100E-10
1.812500E-03    -3.985843E-05   8.554604E-11
1.833333E-03    6.707013E-05    -4.215328E-10
1.854167E-03    -3.985001E-05   -4.892546E-10
1.875000E-03    -1.777635E-05   -6.648047E-10
1.895833E-03    3.192114E-05    -3.781670E-10
1.916667E-03    -5.141182E-05   -6.673198E-11
1.937500E-03    4.020300E-05    3.303562E-10
1.958333E-03    -7.004944E-05   -3.018987E-10
1.979167E-03    1.319971E-05    1.656012E-09
2.000000E-03    4.062264E-05    -3.414086E-10
2.020833E-03    -2.262804E-05   -4.440430E-10
2.041667E-03    8.028896E-05    -1.626167E-09
2.062500E-03    -1.121822E-04   -8.620279E-10
2.083333E-03    5.764204E-05    2.671421E-11
2.104167E-03    -1.438601E-04   3.491075E-10
2.125000E-03    1.100796E-04    -1.392995E-10
2.145833E-03    -3.098389E-05   -8.020848E-10
2.166667E-03    1.935910E-05    -4.255885E-11
2.187500E-03    -4.173633E-05   9.110238E-10
2.208333E-03    4.344049E-06    4.435703E-10
2.229167E-03    8.144673E-05    2.299060E-10
2.250000E-03    -7.409981E-07   -7.480960E-12
2.270833E-03    1.827659E-06    -3.317338E-10
2.291667E-03    8.960222E-06    6.632978E-10
2.312500E-03    -1.480499E-05   -8.028253E-10
2.333333E-03    9.763164E-05    -6.612338E-10
2.354167E-03    -1.156924E-04   -1.852418E-11
2.375000E-03    8.995734E-05    3.982986E-10
2.395833E-03    -1.670831E-04   3.845824E-10
2.416667E-03    6.535673E-05    1.422154E-10
2.437500E-03    -2.284911E-04   7.679896E-11
2.458333E-03    1.230531E-04    -3.177714E-10
2.479167E-03    -4.909912E-05   -1.422912E-10
2.500000E-03    8.799315E-05    4.019431E-10
2.520833E-03    -9.435297E-05   1.148456E-11
2.541667E-03    4.943376E-05    -8.260798E-11
2.562500E-03    1.134898E-05    -5.634989E-10
2.583333E-03    5.864580E-05    -8.637523E-11
2.604167E-03    -9.004760E-05   -1.510431E-10
2.625000E-03    5.790774E-05    2.331677E-12
2.645833E-03    -1.017195E-04   -9.618890E-10
2.666667E-03    1.496073E-04    -5.384209E-10
2.687500E-03    -1.990845E-04   2.801244E-10
2.708333E-03    1.942769E-04    1.273293E-11
2.729167E-03    -2.337003E-04   -1.818989E-10
2.750000E-03    2.512955E-04    -1.624607E-10
2.770833E-03    -2.523706E-04   1.349173E-10
2.791667E-03    2.318910E-04    -1.228086E-10
2.812500E-03    -2.437145E-04   6.086837E-10
2.833333E-03    1.880638E-04    5.966285E-10
2.854167E-03    -1.984945E-04   2.819434E-11
2.875000E-03    1.999091E-04    4.320100E-10
2.895833E-03    -1.771665E-04   -5.602487E-10
2.916667E-03    1.916247E-04    -8.273725E-11
2.937500E-03    -2.254304E-04   -1.052883E-09
2.958333E-03    2.608101E-04    -5.705385E-10
2.979167E-03    -3.053864E-04   -1.132553E-09
3.000000E-03    3.387363E-04    -4.310469E-10
3.020833E-03    -4.461498E-04   8.687012E-11
3.041667E-03    4.116870E-04    9.344814E-10
3.062500E-03    -4.767513E-04   1.103190E-09
3.083333E-03    5.423111E-04    7.631685E-10
3.104167E-03    -5.220833E-04   5.277746E-11
