Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    -7.724610E-05   -1.491571E-10
2.083333E-05    -3.896567E-04   -5.311449E-10
4.166667E-05    2.734106E-04    -6.148184E-10
6.250000E-05    -1.698978E-04   3.783498E-10
8.333333E-05    1.133876E-04    1.018634E-10
1.041667E-04    -1.007930E-04   1.309672E-10
1.250000E-04    1.895674E-04    -3.446985E-10
1.458333E-04    -2.089386E-06   8.407119E-10
1.666667E-04    3.699464E-05    6.184564E-10
1.875000E-04    -3.640103E-05   2.764864E-10
2.083333E-04    4.268620E-05    -3.637979E-12
2.291667E-04    6.542224E-05    4.147296E-10
2.500000E-04    -4.518283E-05   -4.879974E-10
2.708333E-04    1.312794E-05    1.309672E-10
2.916667E-04    -2.665247E-05   -5.172795E-10
3.125000E-04    8.091664E-05    2.575118E-11
3.333333E-04    -4.005771E-06   -1.128398E-09
3.541667E-04    2.511281E-05    -1.052153E-11
3.750000E-04    2.706394E-05    -1.093979E-10
3.958333E-04    -1.532011E-06   1.024876E-10
4.166667E-04    7.050276E-05    -6.571187E-10
4.375000E-04    -3.387807E-05   2.031378E-10
4.583333E-04    7.280328E-05    8.606313E-11
4.791667E-04    -4.409792E-05   9.982140E-10
5.000000E-04    5.898951E-05    2.438203E-10
5.208333E-04    -2.587747E-05   -3.489071E-10
5.416666E-04    3.146513E-05    -4.508508E-10
5.625000E-04    7.326689E-05    5.079616E-10
5.833333E-04    -2.449482E-05   7.572415E-14
6.041666E-04    5.271445E-05    -3.005211E-10
6.250000E-04    -5.385373E-05   2.317337E-10
6.458333E-04    2.775159E-05    9.871360E-10
6.666667E-04    -1.083383E-04   7.821654E-10
6.875000E-04    -2.861017E-05   -2.373781E-10
7.083333E-04    -2.747588E-05   1.527951E-10
7.291667E-04    -2.725865E-07   1.178705E-09
7.500000E-04    8.298460E-05    -3.001333E-11
7.708333E-04    -1.879023E-05   3.237801E-10
7.916667E-04    1.295817E-04    -1.094122E-09
8.125000E-04    -3.968409E-05   -1.083458E-10
8.333334E-04    7.424060E-05    -7.239578E-10
8.541666E-04    -9.190233E-06   -4.274625E-11
8.750000E-04    2.605918E-05    4.210960E-10
8.958333E-04    -1.002634E-04   -4.692993E-10
9.166666E-04    -8.486263E-05   3.955767E-10
9.375000E-04    7.255023E-05    -6.657501E-10
9.583333E-04    5.310227E-06    -3.744888E-10
9.791667E-04    1.323380E-05    2.713147E-10
9.999999E-04    -1.001396E-04   1.849128E-10
1.020833E-03    8.346047E-05    1.097635E-10
1.041667E-03    7.600640E-05    -7.503430E-10
1.062500E-03    2.665268E-05    -3.019522E-10
1.083333E-03    -1.788575E-05   -2.339719E-10
1.104167E-03    -4.382085E-05   2.792416E-10
1.125000E-03    9.160898E-05    -5.310378E-10
1.145833E-03    -3.882196E-05   -2.634060E-11
1.166667E-03    2.367870E-05    6.211046E-10
1.187500E-03    -5.680080E-05   1.079981E-10
1.208333E-03    3.360825E-05    -1.554173E-11
1.229167E-03    1.099991E-05    -7.986691E-10
1.250000E-03    -1.778441E-05   7.668746E-11
1.270833E-03    6.533997E-05    -1.840300E-10
1.291667E-03    -4.730701E-05   -1.964323E-11
1.312500E-03    9.330202E-05    4.258531E-10
1.333333E-03    -3.049690E-05   -2.442617E-10
1.354167E-03    8.925112E-05    -2.496651E-10
1.375000E-03    -4.067937E-05   2.418277E-10
1.395833E-03    -5.287460E-06   4.379129E-10
1.416667E-03    1.425487E-05    -2.997676E-10
1.437500E-03    -2.070029E-05   7.457145E-10
1.458333E-03    1.217694E-04    4.559941E-11
1.479167E-03    -1.127935E-04   -3.492284E-10
1.500000E-03    5.416509E-05    1.203562E-10
1.520833E-03    -8.575746E-05   5.279082E-10
1.541667E-03    1.224531E-04    5.406055E-10
1.562500E-03    -1.590472E-04   -1.833615E-10
1.583333E-03    -2.940695E-05   -1.032009E-10
1.604167E-03    5.244691E-05    -1.853227E-10
1.625000E-03    6.125988E-05    5.989115E-10
1.645833E-03    1.386006E-04    4.996247E-10
1.666667E-03    -1.703985E-04   7.458777E-12
1.687500E-03    1.678735E-04    -2.223581E-10
1.708333E-03    -7.968889E-05   4.588581E-10
1.729167E-03    1.600652E-04    -1.353365E-10
1.750000E-03    -2.620298E-04   -3.166112E-10
1.770833E-03    -3.052097E-05   -2.674763E-10
1.791667E-03    1.552608E-05    8.481302E-10
1.812500E-03    -3.591027E-06   9.788309E-10
1.833333E-03    1.344724E-04    1.029733E-10
1.854167E-03    -2.397701E-04   -3.238358E-10
1.875000E-03    2.604657E-04    -3.014839E-10
1.895833E-03    -1.576890E-04   5.847875E-10
1.916667E-03    2.793309E-04    -3.991565E-10
1.937500E-03    -1.884005E-04   -6.000745E-10
1.958333E-03    6.858056E-05    -3.373422E-10
1.979167E-03    -3.374415E-06   2.775787E-10
2.000000E-03    -5.301969E-05   4.129458E-10
2.020833E-03    1.475641E-04    4.059759E-11
2.041667E-03    -2.222577E-04   1.862682E-10
2.062500E-03    2.500386E-04    -2.334397E-11
2.083333E-03    -1.845605E-04   -1.903697E-10
2.104167E-03    1.425468E-04    -7.416306E-10
2.125000E-03    -8.103687E-05   -1.704821E-09
2.145833E-03    -6.019384E-06   -6.689221E-11
2.166667E-03    6.261012E-05    2.333477E-10
2.187500E-03    -2.020774E-04   4.861651E-10
2.208333E-03    2.820473E-04    4.026744E-10
