Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    -7.441517E-05   1.418812E-10
2.083333E-05    -3.002749E-04   -4.329195E-10
4.166667E-05    2.379061E-04    -4.729372E-10
6.250000E-05    -7.016263E-05   -6.184564E-10
8.333333E-05    1.054236E-05    -2.922599E-10
1.041667E-04    -2.257155E-05   1.991526E-10
1.250000E-04    5.714224E-05    1.963973E-10
1.458333E-04    -3.713867E-05   1.151670E-10
1.666667E-04    1.633599E-05    8.803909E-10
1.875000E-04    -8.803766E-05   8.258212E-10
2.083333E-04    6.304330E-05    -2.255547E-10
2.291667E-04    -5.587140E-05   -6.766641E-10
2.500000E-04    2.268737E-05    -7.557633E-10
2.708333E-04    -2.592289E-05   -6.860711E-10
2.916667E-04    1.413417E-06    -2.606861E-10
3.125000E-04    2.091518E-06    -5.469452E-10
3.333333E-04    -2.162422E-05   -7.752995E-10
3.541667E-04    2.645101E-05    -2.349617E-10
3.750000E-04    9.935622E-06    -1.271464E-10
3.958333E-04    -1.593571E-05   1.010368E-09
4.166667E-04    2.044154E-05    3.436376E-10
4.375000E-04    2.672536E-06    1.668299E-11
4.583333E-04    4.282637E-05    2.915554E-10
4.791667E-04    -1.417154E-05   -1.746230E-10
5.000000E-04    2.155876E-05    3.882296E-11
5.208333E-04    3.642366E-06    1.631920E-10
5.416666E-04    5.040033E-05    2.325029E-10
5.625000E-04    -1.312622E-05   4.400884E-10
5.833333E-04    -9.823259E-05   7.031641E-11
6.041666E-04    -9.152168E-05   1.903965E-10
6.250000E-04    -6.983028E-06   5.017022E-10
6.458333E-04    2.127024E-06    1.651972E-09
6.666667E-04    3.512340E-05    1.080480E-09
6.875000E-04    5.262118E-06    -4.183676E-10
7.083333E-04    -4.957925E-06   2.757588E-09
7.291667E-04    9.127756E-05    -1.484295E-09
7.500000E-04    3.921778E-05    -2.677035E-10
7.708333E-04    5.986206E-05    -1.719213E-10
7.916667E-04    -4.108431E-05   3.086931E-11
8.125000E-04    -1.004818E-04   -2.631828E-10
8.333334E-04    -2.539968E-05   -9.367795E-11
8.541666E-04    4.451163E-05    3.019522E-10
8.750000E-04    4.490036E-05    3.310561E-10
8.958333E-04    -8.539471E-05   -1.855369E-10
9.166666E-04    -2.911204E-05   4.520456E-10
9.375000E-04    9.334645E-05    1.743109E-10
9.583333E-04    2.944213E-05    -3.552736E-10
9.791667E-04    -5.500624E-08   -3.477658E-10
9.999999E-04    -4.776980E-05   2.749527E-10
1.020833E-03    6.892167E-05    2.285149E-10
1.041667E-03    4.184912E-05    -2.703830E-10
1.062500E-03    -2.972178E-05   -2.630222E-10
1.083333E-03    -4.822905E-06   5.016754E-10
1.104167E-03    -1.328441E-05   -1.293793E-11
1.125000E-03    4.214530E-05    -9.633331E-10
1.145833E-03    -9.552903E-06   -2.206683E-10
1.166667E-03    -2.120579E-05   1.702537E-10
1.187500E-03    2.119006E-05    1.511543E-10
1.208333E-03    -1.668450E-07   2.233257E-10
1.229167E-03    4.771635E-05    -1.665622E-11
1.250000E-03    6.843802E-06    -3.076678E-10
1.270833E-03    4.607668E-05    -4.168607E-10
1.291667E-03    -8.917268E-06   -6.278902E-10
1.312500E-03    2.008692E-05    5.921881E-10
1.333333E-03    1.519227E-05    1.015026E-10
1.354167E-03    3.514357E-06    2.844492E-10
1.375000E-03    -4.832492E-06   -5.559330E-10
1.395833E-03    2.352655E-05    -1.204992E-10
1.416667E-03    4.812901E-05    -1.525190E-10
1.437500E-03    1.276828E-05    -1.064377E-10
1.458333E-03    -2.899174E-05   7.939529E-10
1.479167E-03    -1.004900E-04   -1.209988E-10
1.500000E-03    -4.516510E-05   -4.505387E-10
1.520833E-03    1.194035E-04    -3.386885E-10
1.541667E-03    1.010894E-06    2.884529E-11
1.562500E-03    -8.751338E-06   -9.986620E-11
1.583333E-03    -4.571022E-06   -2.245870E-10
1.604167E-03    1.319926E-04    7.374940E-11
1.625000E-03    9.072397E-05    5.205997E-11
1.645833E-03    -7.142152E-05   -5.818624E-10
1.666667E-03    -1.242419E-04   -3.268520E-10
1.687500E-03    -6.142016E-05   -4.703334E-10
1.708333E-03    6.394256E-05    9.094098E-10
1.729167E-03    -1.182881E-05   6.946933E-10
1.750000E-03    -5.863034E-05   -5.070077E-10
1.770833E-03    1.682603E-05    2.576280E-10
1.791667E-03    2.352961E-05    2.733839E-11
1.812500E-03    1.195443E-04    -1.136956E-10
1.833333E-03    -4.261021E-05   -6.738331E-10
1.854167E-03    3.897106E-05    -4.268383E-10
1.875000E-03    -3.797987E-05   -3.977724E-10
1.895833E-03    4.903389E-05    -4.052605E-11
1.916667E-03    -1.617285E-05   -4.982424E-10
1.937500E-03    -1.237323E-05   4.161294E-10
1.958333E-03    -3.572460E-05   -5.610068E-10
1.979167E-03    2.683888E-05    1.758891E-09
2.000000E-03    4.317202E-05    -3.370929E-10
2.020833E-03    5.108952E-05    -1.302289E-09
2.041667E-03    -5.307773E-05   -7.326695E-10
2.062500E-03    1.117944E-05    -1.044804E-09
