Time[s]         Real[Pa]        Imag[Pa]
0.000000E+00    -5.845730E-05   4.456524E-10
2.083333E-05    -6.690668E-05   4.001777E-11
4.166667E-05    1.003214E-04    -8.731149E-10
6.250000E-05    2.745907E-05    8.731149E-11
8.333333E-05    2.486755E-05    1.431295E-10
1.041667E-04    -4.162933E-05   1.098928E-10
1.250000E-04    5.102889E-05    3.146584E-10
1.458333E-04    -9.748463E-06   -3.068386E-10
1.666667E-04    9.900563E-06    2.983143E-10
1.875000E-04    -5.049766E-05   1.928129E-10
2.083333E-04    -6.566184E-06   -2.637535E-11
2.291667E-04    7.558097E-06    -1.346052E-10
2.500000E-04    -1.489351E-05   -5.909887E-10
2.708333E-04    -4.317822E-06   -7.320095E-11
2.916667E-04    -1.935083E-05   -5.183585E-10
3.125000E-04    -2.085373E-06   -1.467675E-10
3.333333E-04    -6.620836E-06   -6.153891E-10
3.541667E-04    -1.434302E-06   -9.573056E-10
3.750000E-04    1.699384E-05    -2.369100E-10
3.958333E-04    -2.732806E-05   3.968351E-11
4.166667E-04    1.158292E-05    1.929957E-10
4.375000E-04    -1.140292E-05   1.609159E-10
4.583333E-04    2.190542E-05    -2.545782E-10
4.791667E-04    -1.446128E-05   4.511094E-10
5.000000E-04    1.948932E-05    3.350597E-10
5.208333E-04    4.847596E-06    4.232004E-10
5.416666E-04    2.521369E-05    -1.024876E-10
5.625000E-04    2.719207E-06    4.395177E-10
5.833333E-04    -1.076843E-04   3.424114E-10
6.041666E-04    -7.490021E-05   1.557332E-10
6.250000E-04    -7.487820E-05   7.895059E-10
6.458333E-04    1.148137E-05    3.632272E-10
6.666667E-04    8.664756E-06    -1.218723E-10
6.875000E-04    5.924383E-06    1.637090E-10
7.083333E-04    -6.793634E-07   1.003173E-09
7.291667E-04    3.748127E-05    -5.711627E-10
7.500000E-04    7.118487E-05    -9.350765E-10
7.708333E-04    2.219854E-05    2.599594E-10
7.916667E-04    -1.677108E-05   1.836912E-10
8.125000E-04    -8.183971E-05   -9.907786E-10
8.333334E-04    -6.955075E-05   1.455192E-10
8.541666E-04    1.941393E-05    -3.024070E-11
8.750000E-04    3.976726E-06    3.246896E-10
8.958333E-04    -3.934558E-05   2.555680E-10
9.166666E-04    -6.434833E-05   4.913100E-10
9.375000E-04    2.779662E-05    6.504225E-11
9.583333E-04    7.197817E-05    -1.436466E-10
9.791667E-04    -2.518922E-05   -5.733205E-10
9.999999E-04    -1.855873E-05   -2.722778E-10
1.020833E-03    -1.370450E-05   2.972800E-11
1.041667E-03    6.809828E-05    3.006014E-10
1.062500E-03    -6.573890E-06   1.692953E-10
1.083333E-03    -3.596176E-05   -1.279534E-10
1.104167E-03    -1.706684E-05   2.842416E-10
1.125000E-03    1.219711E-05    -1.749886E-10
1.145833E-03    3.652691E-05    5.456968E-11
1.166667E-03    -3.266337E-05   -1.012928E-10
1.187500E-03    -9.735486E-07   -1.230671E-10
1.208333E-03    5.373673E-06    6.673197E-11
1.229167E-03    3.408164E-05    -1.236377E-10
1.250000E-03    4.340286E-05    -1.967496E-10
1.270833E-03    -1.237424E-05   -5.080242E-11
1.291667E-03    1.856359E-05    6.661601E-10
1.312500E-03    -2.218870E-05   1.638161E-10
1.333333E-03    4.142837E-05    -1.034331E-11
1.354167E-03    -1.447375E-05   -6.287981E-11
1.375000E-03    -6.774639E-06   -1.465901E-11
1.395833E-03    1.437328E-05    -5.679707E-10
1.416667E-03    2.637088E-05    6.272836E-11
1.437500E-03    3.594280E-05    -7.253240E-11
1.458333E-03    -3.608863E-05   1.983945E-10
1.479167E-03    -8.068021E-05   8.426174E-11
1.500000E-03    -5.530447E-05   -1.753543E-10
1.520833E-03    3.447049E-05    -1.757643E-10
1.541667E-03    7.604394E-05    3.968786E-10
1.562500E-03    -6.503810E-05   1.098777E-09
1.583333E-03    2.482754E-05    7.018935E-10
1.604167E-03    2.168557E-05    -2.960447E-10
1.625000E-03    1.333598E-04    3.499773E-10
1.645833E-03    -3.951560E-05   4.115902E-11
1.666667E-03    -1.224665E-04   4.211136E-10
1.687500E-03    -8.856536E-05   -7.436607E-12
1.708333E-03    8.750914E-06    -2.463973E-10
1.729167E-03    4.481695E-05    1.377391E-10
1.750000E-03    -6.854231E-05   3.136862E-10
1.770833E-03    -4.438911E-05   -3.048746E-10
1.791667E-03    2.449981E-05    -2.694159E-11
1.812500E-03    7.314364E-05    -4.390809E-10
1.833333E-03    5.194952E-05    -3.023714E-10
1.854167E-03    -6.073350E-05   -6.059728E-11
1.875000E-03    1.094802E-05    -3.536776E-10
1.895833E-03    -2.241513E-05   -2.778594E-10
1.916667E-03    4.805439E-05    -5.833693E-11
1.937500E-03    -6.867857E-05   5.168201E-10
1.958333E-03    -2.687742E-05   6.313943E-10
1.979167E-03    -3.432456E-05   9.945367E-10
2.000000E-03    6.992422E-05    2.961173E-11
2.020833E-03    1.928829E-05    -7.736412E-10
2.041667E-03    -7.658975E-06   -1.123449E-09
2.062500E-03    -6.176200E-05   -1.534562E-09
2.083333E-03    -2.360633E-05   -4.032540E-10
2.104167E-03    -3.843573E-05   2.644289E-10
2.125000E-03    6.436808E-05    1.328598E-11
