Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	3.84375	10.59375	15.1875	8.53125	13.125	18.1875	3.9375	6	10.78125	5.8125	8.8125	13.78125
-35	3.84375	10.6875	15.1875	8.8125	13.21875	18.375	3.84375	6.28125	10.78125	5.71875	8.71875	14.15625
-30	3.75	10.59375	15	8.53125	13.3125	18.75	3.65625	6.375	11.53125	5.625	8.4375	14.53125
-25	3.75	10.3125	15	8.25	13.5	19.03125	3.5625	6.5625	12.09375	5.53125	10.03125	15.1875
-20	3.65625	10.125	14.90625	7.78125	14.0625	19.3125	3.46875	6.5625	12.375	5.4375	10.875	15.84375
-15	3.65625	10.03125	14.34375	7.6875	14.15625	17.625	3.375	6.375	9.375	5.34375	8.0625	10.96875
-10	3.84375	9.75	17.4375	7.6875	16.59375	19.40625	3.375	8.90625	13.5	7.40625	11.0625	17.0625
-5	4.03125	9.5625	12	7.6875	11.53125	16.40625	3.75	8.4375	14.15625	6.5625	11.4375	18.09375
0	4.125	9.75	12.375	7.6875	11.8125	16.5	4.125	7.21875	9.46875	6.46875	7.5	11.625
5	4.21875	9.84375	12.46875	8.15625	11.625	16.78125	4.125	9.28125	14.53125	7.3125	12	19.40625
10	4.125	9.84375	12.75	8.0625	11.90625	18.84375	4.03125	9.5625	14.625	7.03125	12.28125	19.78125
15	4.125	9.9375	13.21875	8.0625	12.09375	19.21875	3.9375	9.65625	14.8125	6.9375	12.1875	20.15625
20	4.21875	9.9375	13.59375	8.625	12.28125	19.21875	3.84375	9.65625	14.90625	8.25	12.65625	21.09375
25	4.40625	9.84375	13.875	8.4375	12.46875	16.6875	4.3125	9.75	13.5	8.15625	12.46875	13.59375
30	4.3125	9.9375	13.5	8.71875	12.5625	16.40625	4.3125	9.75	15.1875	8.4375	13.03125	15.46875
35	4.21875	10.03125	14.15625	8.8125	12.84375	16.59375	4.3125	9.75	13.6875	8.4375	12.9375	14.25
40	4.125	10.125	13.875	8.8125	12.84375	16.21875	4.21875	9.84375	14.15625	8.34375	13.875	14.53125
45	4.125	10.21875	14.25	8.8125	13.21875	16.125	4.3125	9.9375	16.125	8.25	14.71875	17.71875
50	4.03125	4.78125	8.0625	4.6875	7.59375	9.1875	5.0625	9.65625	16.125	7.40625	14.90625	18.9375
55	4.78125	7.78125	10.03125	7.5	9.09375	13.6875	5.0625	8.15625	9.65625	7.3125	8.71875	14.53125
60	4.6875	7.78125	10.03125	7.21875	8.90625	13.875	4.96875	7.78125	9.65625	7.21875	8.8125	14.34375
65	4.59375	7.5	10.03125	7.125	8.8125	13.875	4.875	7.59375	9.65625	7.125	8.71875	14.15625
70	4.59375	10.03125	15.46875	8.90625	13.96875	19.5	4.875	7.40625	9.75	7.03125	8.90625	14.25
75	4.5	9.9375	15.1875	8.90625	13.96875	19.5	4.78125	9.75	14.8125	8.90625	14.25	17.8125
80	4.21875	7.03125	9.9375	6.5625	9.1875	14.15625	4.40625	18.46875	23.34375	18	20.71875	20.71875
85	4.21875	7.03125	9.84375	6.46875	9.1875	14.25	4.40625	6.84375	11.90625	6.75	11.4375	20.625
90	4.21875	7.03125	9.75	6.5625	9.28125	14.4375	4.3125	12.09375	21.375	11.34375	20.25	22.03125
