Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	3.9375	8.0625	10.875	7.40625	8.90625	13.78125	4.125	8.8125	11.8125	8.15625	10.78125	13.6875
-35	3.9375	10.78125	15.28125	8.71875	13.96875	19.03125	4.125	11.90625	15.46875	10.6875	13.6875	17.71875
-30	3.84375	10.6875	14.71875	8.4375	14.25	18.9375	4.125	9.28125	12	8.8125	10.59375	13.5
-25	3.75	10.6875	14.4375	8.4375	13.96875	18.375	4.03125	9.46875	12.1875	8.625	10.78125	13.3125
-20	3.65625	10.59375	22.03125	8.53125	18	18	3.9375	12.46875	14.90625	10.59375	13.03125	18.46875
-15	3.5625	10.59375	22.21875	8.4375	18	18	3.9375	15	19.21875	10.5	18.65625	21.1875
-10	3.65625	10.6875	22.3125	8.4375	18	18	4.875	14.34375	19.875	10.59375	18.9375	21.28125
-5	3.75	10.78125	22.03125	8.53125	18	23.4375	4.6875	14.53125	16.40625	10.59375	15.375	19.03125
0	3.9375	10.6875	21.28125	8.4375	18	22.875	4.5	13.40625	16.5	10.875	15.375	19.125
5	4.21875	10.6875	21.65625	3	8.90625	18.1875	4.40625	13.21875	15.28125	10.96875	14.625	15.46875
10	4.21875	10.6875	14.4375	3	9	14.0625	4.40625	13.3125	16.6875	10.96875	15.1875	19.59375
15	4.21875	10.78125	14.53125	8.71875	13.40625	18.375	4.6875	13.3125	16.78125	11.25	15.5625	19.78125
20	4.125	10.875	11.625	9.1875	11.15625	13.3125	4.6875	13.78125	16.875	11.34375	16.03125	20.15625
25	4.03125	10.78125	14.71875	9.375	13.40625	16.6875	4.59375	13.40625	17.4375	11.34375	15.9375	20.25
30	4.125	10.5	14.8125	9.375	13.78125	16.5	4.5	13.21875	16.78125	11.34375	15.9375	17.53125
35	4.125	10.96875	14.8125	10.3125	14.25	16.5	4.5	13.03125	18.5625	11.34375	17.90625	20.34375
40	4.21875	10.21875	17.4375	10.125	16.40625	18.9375	4.6875	12.84375	16.5	11.4375	16.125	19.59375
45	4.125	17.34375	19.6875	16.125	18.46875	20.0625	4.78125	12.65625	16.3125	11.53125	15.84375	19.21875
50	4.125	17.15625	22.6875	16.125	18.28125	18.28125	4.96875	12.28125	22.78125	11.34375	19.125	19.125
55	4.125	16.875	22.59375	15.9375	18.28125	18.28125	4.96875	12.28125	16.3125	11.34375	16.03125	18.9375
60	4.5	16.96875	22.6875	15.9375	18.375	18.375	4.875	12.28125	21.9375	11.4375	18.9375	18.9375
65	4.5	16.875	22.3125	15.9375	18.375	18.375	4.875	12.1875	18.46875	11.53125	18	18.84375
70	4.5	16.96875	22.21875	16.03125	18.46875	22.5	4.875	12.1875	21.375	11.4375	19.03125	21.65625
75	4.40625	9.75	16.875	9.28125	16.3125	18.65625	4.875	12.1875	21.375	11.4375	19.21875	19.21875
80	4.125	22.03125	23.25	18.9375	22.6875	22.6875	4.3125	12.1875	21.375	11.25	19.40625	22.59375
85	4.21875	9.75	14.53125	9.28125	14.4375	16.40625	4.3125	12.1875	20.90625	11.34375	19.6875	19.6875
90	4.21875	9.5625	14.8125	9.375	14.34375	16.59375	4.3125	12.09375	21.09375	11.34375	20.15625	22.03125
