Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	4.40625	10.5	14.90625	7.78125	12.65625	17.15625	3.65625	5.90625	7.40625	3.46875	5.34375	6.65625
-35	4.5	10.59375	15	8.15625	12.9375	17.4375	4.21875	6.28125	7.875	3.9375	5.53125	7.125
-30	4.78125	5.625	10.59375	5.34375	8.34375	13.21875	4.6875	6.75	8.53125	4.21875	6	7.6875
-25	5.90625	10.6875	14.8125	8.71875	13.3125	17.71875	3.09375	5.4375	7.40625	4.59375	6.65625	8.4375
-20	5.90625	10.59375	14.53125	8.8125	13.59375	17.625	3.375	6	8.25	4.96875	7.3125	9.5625
-15	5.90625	10.96875	16.21875	9	15.84375	17.71875	3.65625	6.46875	9.5625	5.4375	8.0625	11.0625
-10	5.71875	10.5	16.78125	9.46875	16.03125	17.625	4.21875	7.40625	11.0625	3	6.1875	9.46875
-5	5.625	16.78125	21.75	16.03125	17.4375	22.5	5.15625	9	12.5625	4.125	7.125	10.6875
0	5.625	9.84375	12.375	9.1875	11.8125	16.3125	6.1875	9.375	11.34375	4.96875	8.34375	10.5
5	5.8125	9.5625	12.84375	8.71875	11.90625	16.40625	3.09375	12.75	18.65625	11.0625	16.40625	20.0625
10	5.71875	9.84375	13.03125	9.09375	11.90625	16.3125	3.5625	9.1875	13.875	7.78125	12.375	14.8125
15	5.625	9.75	13.59375	8.625	12.1875	16.21875	3.65625	12.28125	14.90625	10.96875	14.0625	16.875
20	6.09375	9.84375	14.34375	8.53125	12.5625	16.3125	3	4.40625	9.9375	3.46875	9	12
25	5.8125	9.75	14.4375	8.53125	13.03125	16.125	4.40625	9.5625	17.625	8.4375	16.5	21
30	5.34375	9.84375	14.53125	8.15625	13.3125	16.03125	4.21875	9.84375	14.8125	8.4375	14.25	16.59375
35	4.96875	10.03125	14.53125	7.875	13.6875	15.5625	3.84375	9.46875	17.71875	8.25	17.34375	22.59375
40	4.59375	8.25	10.03125	7.78125	8.625	14.25	3.1875	8.4375	15.9375	7.96875	15.46875	22.3125
45	4.5	10.125	15.9375	8.53125	14.0625	20.90625	4.3125	9.84375	14.625	3.84375	9.375	13.875
50	4.59375	7.875	9.75	7.125	8.625	13.875	4.3125	14.90625	17.90625	3.65625	14.34375	17.25
55	4.59375	7.59375	9.75	7.125	9.46875	13.875	4.875	16.59375	21.28125	3.46875	16.3125	20.53125
60	4.59375	7.3125	9.84375	7.125	9.375	14.0625	4.78125	22.78125	22.78125	3.1875	21.75	21.75
65	4.59375	9.84375	15.5625	9.28125	14.0625	19.59375	4.59375	14.4375	21.1875	14.34375	20.625	22.3125
70	4.59375	9.84375	15	9.1875	14.0625	15.75	4.59375	14.8125	16.59375	14.25	16.03125	20.0625
75	4.59375	9.84375	15.09375	9.09375	14.15625	19.3125	4.59375	18.28125	18.28125	17.625	22.78125	22.78125
80	4.3125	7.03125	9.84375	6.5625	9.28125	14.25	4.21875	12.09375	14.625	11.53125	14.34375	18.28125
85	4.3125	7.03125	9.84375	6.46875	9.28125	14.15625	4.3125	12.09375	21.1875	11.25	20.15625	22.3125
90	4.21875	7.03125	9.84375	6.5625	9.1875	14.25	4.3125	12.1875	21.28125	11.25	20.15625	22.21875
