Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	4.03125	10.125	15.84375	7.59375	13.59375	21.09375	3.65625	10.875	15.1875	9.09375	13.3125	20.53125
-35	4.125	10.21875	15.75	7.875	13.5	20.625	3.65625	6.1875	10.875	5.8125	9	13.59375
-30	4.125	10.3125	15.46875	8.625	13.5	20.8125	3.5625	6.1875	10.78125	5.90625	8.90625	13.96875
-25	4.125	10.21875	15.09375	8.625	13.3125	21.09375	3.5625	10.6875	14.90625	8.71875	14.15625	18.84375
-20	4.03125	10.125	15.09375	8.625	11.71875	19.03125	3.65625	10.6875	19.78125	8.53125	18.28125	20.625
-15	4.03125	10.40625	13.21875	9.65625	11.53125	13.59375	3.65625	10.5	19.3125	8.71875	17.4375	20.0625
-10	4.40625	15.5625	20.0625	11.25	19.3125	21.84375	3.65625	10.5	20.625	8.71875	16.78125	16.78125
-5	4.59375	15.65625	19.6875	11.15625	19.21875	21.9375	3.375	11.71875	19.3125	8.8125	16.78125	19.96875
0	4.40625	13.40625	16.78125	11.8125	14.0625	19.125	11.15625	19.125	20.90625	8.53125	17.0625	19.96875
5	4.3125	13.3125	15.75	11.71875	14.34375	16.5	4.96875	10.78125	13.21875	4.125	9	12.09375
10	4.3125	13.21875	16.125	12	14.4375	19.59375	4.96875	10.59375	13.125	3.9375	9.28125	11.71875
15	4.59375	9.375	13.6875	8.71875	12.28125	14.53125	4.96875	10.125	12.9375	3.75	9.1875	11.0625
20	4.59375	14.71875	17.8125	12.375	16.59375	22.3125	4.6875	10.03125	12.84375	3.5625	9.46875	10.875
25	4.5	9.75	14.4375	9	12.5625	16.5	4.125	13.40625	19.21875	9.84375	17.71875	17.71875
30	4.40625	9.46875	14.71875	8.71875	12.84375	16.3125	4.03125	10.40625	13.21875	9.84375	11.0625	17.90625
35	4.40625	17.4375	23.25	16.5	20.8125	20.8125	4.125	13.03125	19.78125	10.78125	17.625	17.625
40	4.59375	9.9375	17.0625	9.28125	16.21875	20.4375	4.125	13.125	20.4375	10.6875	18	23.34375
45	4.59375	9.9375	17.15625	9.09375	16.03125	20.0625	4.21875	12.84375	16.6875	11.34375	16.03125	17.71875
50	4.875	7.875	17.0625	7.40625	16.21875	19.59375	4.125	12.5625	16.78125	10.96875	15.9375	17.90625
55	4.78125	7.78125	16.875	7.21875	16.03125	19.3125	4.5	12.46875	16.3125	11.25	15.65625	18.5625
60	4.6875	7.5	9.75	7.125	9.46875	16.03125	4.78125	12.375	16.5	11.53125	16.03125	18.375
65	4.6875	7.40625	9.84375	7.03125	9.375	16.21875	4.78125	12.28125	21.28125	11.34375	18.28125	22.78125
70	4.6875	9.84375	16.59375	9.1875	16.125	19.03125	4.6875	12	21	11.8125	18.28125	22.78125
75	4.59375	9.84375	23.4375	9.09375	19.125	19.125	4.59375	12.28125	20.90625	11.4375	18.375	22.78125
80	4.21875	7.03125	9.75	6.65625	9.375	19.125	4.21875	12.09375	21	11.34375	18.5625	22.59375
85	4.21875	7.03125	9.84375	6.5625	9.28125	14.34375	4.3125	12.09375	21	11.25	19.59375	22.5
90	4.21875	7.03125	9.84375	6.65625	9.1875	14.25	4.3125	12.1875	21.28125	11.25	20.0625	22.5
