Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	3.9375	10.875	15	8.4375	13.78125	19.125	4.125	11.625	15.28125	9.9375	13.6875	20.25
-35	3.9375	10.78125	14.90625	8.53125	13.78125	18.84375	4.125	11.4375	15.28125	9.46875	13.6875	17.8125
-30	3.9375	10.6875	22.21875	8.53125	18.5625	18.5625	4.03125	9.28125	11.34375	8.53125	9.46875	13.6875
-25	3.84375	10.6875	22.5	8.4375	18.1875	18.1875	3.84375	11.25	14.90625	9.65625	13.6875	17.90625
-20	3.75	10.59375	22.03125	8.25	18.09375	18.09375	3.75	11.53125	14.71875	9.5625	13.96875	17.90625
-15	3.75	10.6875	22.21875	8.4375	18.09375	18.09375	3.75	12.375	19.03125	9.5625	18	20.90625
-10	3.75	10.78125	13.875	8.53125	13.3125	18	4.875	13.5	19.5	9.84375	18.46875	21.09375
-5	3.75	10.78125	22.03125	8.53125	18	22.5	4.6875	13.5	19.78125	9.75	18.65625	21.375
0	3.9375	10.78125	13.59375	8.625	13.125	18.09375	4.5	13.3125	16.21875	10.03125	15.84375	18.75
5	4.125	10.78125	13.96875	8.90625	13.40625	18.1875	4.40625	13.21875	20.4375	10.21875	18.84375	22.96875
10	4.125	10.875	21.375	8.90625	18.28125	22.5	4.5	13.40625	16.3125	10.59375	15.75	19.03125
15	4.03125	10.875	14.34375	8.8125	13.40625	18.375	4.6875	13.3125	16.59375	10.6875	15.84375	19.125
20	3.84375	10.78125	14.625	9.1875	13.21875	18.5625	4.6875	13.6875	22.3125	10.875	19.21875	19.21875
25	3.84375	10.6875	14.625	9.28125	13.3125	16.6875	4.59375	13.3125	21.28125	10.875	19.3125	21.75
30	3.9375	11.53125	14.71875	9.65625	13.5	16.59375	4.5	13.3125	16.78125	10.875	16.21875	19.125
35	4.125	11.15625	14.8125	10.125	13.78125	16.5	4.5	13.125	22.125	11.15625	18.28125	22.40625
40	4.125	10.59375	17.4375	9.75	16.40625	18.9375	4.59375	13.03125	16.5	11.25	16.21875	18.375
45	4.125	17.4375	22.6875	16.125	18.5625	18.5625	4.6875	12.84375	16.59375	11.4375	15.9375	18.28125
50	4.03125	17.15625	22.6875	16.125	18.375	18.375	4.96875	12.65625	16.40625	11.25	15.84375	18.1875
55	4.125	16.96875	22.59375	15.9375	18.28125	18.28125	4.875	12.5625	16.40625	11.25	15.84375	18.375
60	4.5	16.96875	22.59375	15.9375	18.28125	18.28125	4.875	12.46875	16.21875	11.34375	15.9375	18.46875
65	4.59375	16.875	22.5	15.9375	18.375	22.96875	4.78125	12.28125	21.65625	11.34375	18	22.59375
70	4.5	16.96875	22.125	16.03125	18.46875	22.59375	4.78125	12.28125	21.1875	11.34375	18.5625	18.5625
75	4.40625	9.75	16.875	9.28125	16.3125	18.5625	4.875	12.1875	21.1875	11.4375	18.75	22.6875
80	4.125	22.125	23.71875	18.84375	22.96875	22.96875	4.3125	12.1875	21.375	11.25	19.125	22.5
85	4.125	9.75	16.78125	9.28125	16.40625	19.125	4.3125	12.1875	20.8125	11.25	19.6875	19.6875
90	4.21875	9.5625	14.8125	9.375	14.34375	16.59375	4.3125	12.09375	21.09375	11.34375	20.15625	22.03125
