Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	3.5625	8.71875	10.96875	7.3125	9.65625	13.5	4.125	9.75	12.65625	7.78125	12	14.25
-35	3.5625	7.96875	10.875	7.6875	9.28125	13.96875	4.21875	9.9375	15.9375	8.0625	13.96875	18
-30	3.65625	8.34375	10.78125	8.0625	8.8125	15.09375	4.21875	9.9375	16.5	8.34375	12.28125	16.78125
-25	3.84375	10.6875	20.15625	8.4375	18.46875	21	4.21875	9.9375	18	8.625	12.28125	21.9375
-20	3.9375	8.25	10.6875	7.5	8.53125	13.875	4.21875	9.75	17.8125	8.53125	12.1875	19.6875
-15	3.9375	10.59375	14.625	7.875	13.96875	18.5625	4.21875	18	20.8125	12.1875	19.6875	19.6875
-10	3.9375	10.59375	14.0625	8.625	13.40625	18.1875	5.25	17.8125	20.71875	11.71875	19.6875	19.6875
-5	3.65625	10.875	22.3125	9	17.625	22.875	5.25	17.4375	20.71875	11.625	19.875	22.78125
0	3.5625	10.6875	14.53125	8.53125	14.0625	18.09375	5.0625	13.125	17.4375	11.625	14.53125	20.0625
5	3.46875	6	10.59375	5.53125	8.15625	12.75	5.25	13.40625	17.8125	12	15.1875	22.875
10	3.5625	6.1875	10.6875	5.4375	8.8125	12.46875	5.34375	13.5	17.90625	11.90625	15.46875	23.8125
15	3.75	6.28125	9.9375	5.625	9.375	10.96875	5.15625	9.28125	13.5	8.625	12.09375	15.75
20	3.84375	6.09375	12.46875	5.8125	10.5	16.6875	4.96875	14.0625	17.25	12.1875	16.21875	17.90625
25	3.9375	14.625	17.0625	12.28125	16.40625	18.5625	4.875	9.46875	17.625	8.71875	15.9375	22.3125
30	4.03125	12.65625	17.25	11.90625	16.59375	19.03125	5.34375	9.28125	16.875	8.53125	15.9375	17.4375
35	4.03125	17.4375	22.875	16.3125	18.9375	18.9375	5.25	9	18.84375	8.34375	17.625	21.09375
40	4.125	17.25	20.625	16.3125	18.5625	21.1875	5.0625	14.8125	16.3125	14.15625	15.9375	18.1875
45	4.21875	9.75	17.0625	9.375	16.125	18.1875	4.96875	9.46875	14.71875	8.90625	14.25	18.46875
50	4.125	16.96875	22.03125	16.03125	18.28125	18.28125	5.0625	7.78125	15.09375	7.3125	14.25	20.625
55	4.21875	17.0625	22.03125	15.84375	18.375	18.375	4.96875	7.59375	14.90625	7.3125	14.0625	20.25
60	4.40625	16.96875	22.21875	15.9375	18.5625	18.5625	4.96875	14.8125	14.8125	14.15625	19.96875	19.96875
65	4.40625	16.875	22.03125	16.21875	18.65625	22.78125	4.96875	11.90625	14.625	11.625	14.25	18
70	4.40625	9.65625	16.875	9.46875	16.125	18.65625	4.96875	12.09375	14.71875	11.53125	14.25	19.78125
75	4.40625	9.75	16.875	9.28125	16.40625	18.84375	4.96875	12.09375	14.71875	11.53125	14.15625	19.78125
80	4.125	21.9375	21.9375	19.03125	19.03125	19.03125	4.40625	12.09375	14.71875	11.34375	14.4375	19.78125
85	4.21875	9.75	14.53125	9.28125	14.34375	16.5	4.40625	12.1875	21.5625	11.25	19.96875	22.6875
90	4.21875	14.8125	16.875	14.34375	16.5	19.3125	4.3125	12.1875	21.1875	11.34375	20.15625	22.03125
