Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	3.84375	10.6875	15.28125	8.34375	13.03125	18.28125	3.84375	10.6875	14.90625	8.625	13.03125	17.90625
-35	3.84375	6.28125	10.78125	5.8125	8.53125	13.21875	3.84375	6.28125	10.78125	6	8.90625	13.40625
-30	3.65625	6.5625	10.78125	5.34375	8.53125	13.3125	3.84375	10.59375	15.375	8.625	13.875	19.21875
-25	3.5625	6.5625	10.875	5.15625	9.375	13.5	3.75	10.21875	15.75	8.4375	14.34375	19.78125
-20	3.375	6.46875	10.78125	4.875	9.1875	17.71875	3.75	9.84375	12.28125	8.15625	11.34375	15.375
-15	3.1875	6.46875	11.25	4.6875	9.65625	17.53125	3.75	9.84375	12.5625	8.0625	11.25	15.75
-10	3	6.65625	10.875	4.96875	9.65625	16.3125	3.84375	9.75	13.125	7.96875	11.4375	16.03125
-5	6.75	9.84375	12.375	5.34375	9	11.53125	3.65625	9.65625	13.125	7.875	11.53125	16.78125
0	3.65625	6.75	9.46875	3.375	5.25	8.0625	4.6875	9.84375	13.40625	7.875	11.625	17.71875
5	3.75	8.34375	10.03125	5.25	8.8125	11.8125	4.78125	9.75	13.5	7.78125	11.8125	18.65625
10	3.65625	7.78125	9.9375	5.90625	8.34375	12.09375	4.6875	9.75	14.0625	7.875	11.90625	19.40625
15	3.65625	7.03125	10.03125	5.90625	7.78125	12.375	4.59375	9.84375	13.6875	7.875	12.1875	14.34375
20	3.5625	6.28125	10.03125	5.8125	7.59375	12.84375	4.59375	9.84375	14.8125	8.15625	12.28125	17.625
25	3.84375	10.03125	14.53125	8.25	13.125	16.5	4.6875	9.75	14.71875	8.25	12.84375	21.1875
30	4.03125	10.03125	14.4375	8.25	13.3125	16.40625	4.59375	9.75	14.90625	8.25	12.9375	20.53125
35	4.03125	10.125	14.4375	8.25	13.5	16.59375	4.5	9.65625	13.6875	8.15625	13.03125	14.15625
40	4.125	10.125	14.53125	8.625	13.875	16.5	4.3125	9.9375	14.15625	8.34375	13.78125	15
45	4.3125	10.125	14.25	8.71875	13.5	16.21875	4.3125	9.9375	16.03125	8.625	15	19.125
50	4.78125	7.78125	9.84375	7.3125	8.8125	13.3125	4.21875	9.46875	17.53125	7.40625	16.6875	18.5625
55	4.6875	7.59375	9.9375	7.21875	8.90625	13.5	5.0625	8.25	9.28125	7.40625	8.90625	14.0625
60	4.6875	7.5	10.03125	7.125	9	13.96875	4.96875	7.875	9.65625	7.5	9.09375	14.25
65	4.59375	7.3125	10.03125	7.03125	9	13.96875	4.875	7.78125	9.65625	7.3125	8.90625	14.15625
70	4.59375	9.9375	15.5625	9	14.0625	19.5	4.875	7.40625	9.5625	7.21875	8.90625	14.15625
75	4.5	9.9375	15.28125	8.90625	14.0625	19.40625	4.78125	9.46875	14.625	9.09375	14.4375	17.8125
80	4.3125	6.9375	9.9375	6.5625	9.1875	14.15625	4.3125	6.9375	14.625	6.84375	14.25	17.90625
85	4.21875	7.03125	9.84375	6.46875	9.28125	14.25	4.3125	11.90625	14.625	11.34375	14.4375	20.71875
90	4.21875	7.03125	9.84375	6.5625	9.1875	14.34375	4.3125	12.09375	21.28125	11.25	20.25	21.9375
