Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	3.84375	10.5	14.90625	8.25	12.375	17.0625	5.15625	10.125	15.1875	7.78125	13.40625	19.03125
-35	3.84375	10.40625	14.90625	8.53125	12.5625	17.34375	5.71875	10.78125	15.46875	8.25	13.96875	19.40625
-30	3.75	10.40625	14.90625	8.34375	12.75	17.625	6.09375	10.5	17.625	8.625	16.3125	19.875
-25	3.65625	10.3125	15	7.6875	12.84375	18.1875	6.1875	10.21875	17.53125	8.4375	15.75	15.75
-20	3.75	10.125	15.375	7.6875	13.125	18.75	3.46875	6.1875	10.21875	3.84375	8.71875	11.4375
-15	3.84375	10.125	15.65625	7.875	13.40625	18.9375	3.09375	6.1875	9.9375	4.03125	8.90625	11.34375
-10	4.125	10.125	14.25	7.96875	13.59375	14.8125	6	9.28125	13.03125	3.84375	8.4375	11.4375
-5	4.40625	10.21875	14.4375	3.28125	8.0625	14.25	6.09375	13.6875	19.96875	3.75	11.53125	18.1875
0	4.59375	10.125	12.375	3.5625	8.0625	11.625	6.1875	9.46875	13.5	3.75	8.625	11.71875
5	4.6875	10.125	12.46875	3.5625	8.0625	11.53125	6.09375	9.375	14.15625	4.03125	8.25	11.8125
10	4.6875	9.9375	12.84375	3.65625	8.25	11.71875	6.28125	9.65625	14.53125	4.21875	8.4375	12.1875
15	4.59375	9.84375	12.84375	3.46875	8.53125	11.90625	3.1875	6.46875	9.65625	4.21875	7.96875	12.46875
20	4.3125	9.84375	12.46875	3.1875	8.53125	11.8125	3.09375	6.375	7.96875	4.125	7.875	8.4375
25	4.125	9.9375	12.9375	8.8125	11.90625	13.6875	3.09375	6.1875	9.75	4.6875	8.34375	13.3125
30	4.03125	9.9375	14.15625	9	13.03125	16.40625	3.1875	4.03125	5.8125	3.75	4.6875	8.0625
35	4.03125	9.75	13.6875	8.625	12.75	16.21875	4.03125	5.4375	9.9375	4.59375	7.875	15.5625
40	4.21875	10.125	14.34375	9.375	13.125	16.03125	5.0625	9.9375	16.78125	8.15625	16.03125	18.09375
45	4.125	10.125	13.96875	9.09375	13.3125	16.125	4.875	9.84375	17.4375	8.53125	16.21875	17.8125
50	4.125	7.78125	9.75	7.3125	9	13.875	4.96875	7.78125	9.28125	7.3125	8.4375	16.21875
55	4.21875	10.03125	15.28125	9.28125	13.78125	19.40625	4.96875	7.59375	9.1875	7.21875	8.4375	13.96875
60	4.59375	7.78125	9.9375	7.3125	9.09375	13.96875	4.96875	15.09375	17.625	14.25	16.6875	18.1875
65	4.59375	7.5	9.9375	7.3125	8.90625	13.96875	4.875	15	18.65625	14.15625	17.53125	20.34375
70	4.5	9.9375	15.1875	9	14.0625	16.40625	4.875	9.5625	14.8125	9.09375	14.25	18.1875
75	4.5	9.84375	15	9	14.0625	19.5	4.78125	9.5625	14.8125	9	14.15625	20.34375
80	4.21875	7.03125	9.84375	6.65625	9.28125	14.15625	4.40625	14.8125	14.8125	14.25	20.4375	20.4375
85	4.21875	7.03125	9.84375	6.5625	9.1875	14.25	4.40625	12	14.71875	11.34375	14.25	20.4375
90	4.21875	7.03125	14.90625	6.65625	14.34375	16.59375	4.3125	12.09375	14.625	11.4375	14.34375	20.15625
