Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	6.1875	7.875	10.5	5.4375	7.40625	8.53125	4.3125	10.125	14.625	7.6875	12.65625	16.5
-35	6.5625	8.4375	10.5	5.71875	7.875	9.09375	4.40625	10.3125	14.90625	8.0625	13.03125	16.875
-30	3.09375	7.03125	9.09375	6.1875	8.4375	9.5625	4.59375	10.21875	14.90625	8.34375	13.5	16.96875
-25	3.28125	5.625	7.875	5.25	6.84375	9.1875	5.625	11.15625	14.625	8.625	13.6875	17.0625
-20	3.5625	6.46875	9	5.71875	7.6875	10.125	5.71875	9.84375	11.71875	8.71875	10.875	16.59375
-15	3.9375	7.5	10.03125	6.5625	8.90625	11.53125	5.8125	9.09375	12.1875	8.625	10.78125	15.75
-10	4.3125	8.8125	11.34375	7.40625	10.3125	13.21875	5.71875	12.5625	19.03125	11.25	16.125	19.875
-5	4.21875	10.21875	13.3125	9	11.34375	18	5.625	13.125	19.3125	11.53125	16.3125	19.96875
0	3.46875	15.28125	21.46875	13.875	20.15625	20.15625	5.625	13.40625	21	11.8125	16.5	22.875
5	3.84375	9.9375	16.59375	7.3125	15.46875	17.8125	5.71875	9.375	13.6875	8.53125	12.09375	16.59375
10	3.9375	13.3125	21	11.4375	17.34375	23.34375	5.71875	9.28125	14.25	8.34375	12.5625	16.6875
15	3.9375	10.125	16.5	8.8125	14.71875	17.90625	5.625	9.5625	14.53125	8.4375	13.21875	16.59375
20	3	4.3125	9.46875	3.375	9	14.15625	5.90625	9.5625	14.53125	8.34375	13.59375	16.21875
25	4.3125	10.3125	17.25	9.09375	16.40625	18.9375	5.8125	9.65625	17.90625	8.34375	14.8125	18.28125
30	4.125	12.84375	14.71875	12.46875	13.875	16.59375	5.625	9.46875	15.1875	8.15625	14.53125	15.84375
35	3.84375	9.84375	12.75	9.28125	12.1875	14.15625	5.4375	9.65625	19.03125	7.96875	16.96875	22.125
40	3.375	8.8125	14.90625	8.25	13.875	16.125	5.15625	9.75	14.8125	7.875	14.4375	17.15625
45	3	4.125	9.84375	3.84375	9.09375	16.125	4.875	9.75	15.09375	8.53125	14.15625	16.5
50	4.3125	14.71875	17.0625	3.65625	13.875	16.59375	4.96875	7.875	9.1875	7.21875	8.53125	13.96875
55	4.5	9.84375	17.0625	3.375	9.375	16.03125	4.875	7.59375	15	7.3125	13.875	18.1875
60	4.5	14.8125	17.4375	3.09375	13.96875	16.59375	4.875	15	17.15625	13.875	16.59375	21.375
65	4.40625	9.9375	22.3125	9.375	19.125	22.78125	4.875	14.90625	18.5625	14.0625	17.90625	20.53125
70	4.40625	9.75	14.90625	9.1875	14.25	16.3125	4.875	14.8125	18.375	14.15625	18.28125	20.25
75	4.3125	9.75	14.53125	9.1875	14.25	19.21875	4.875	14.8125	23.0625	14.15625	20.15625	20.15625
80	4.21875	9.75	14.71875	9.46875	14.34375	19.3125	4.40625	12	14.71875	11.4375	14.34375	20.0625
85	4.21875	9.84375	14.53125	9.28125	14.34375	19.3125	4.40625	6.84375	12.09375	6.75	11.34375	14.34375
90	4.21875	6.9375	14.8125	6.75	14.34375	16.59375	4.3125	12.1875	14.625	11.4375	14.4375	20.15625
