Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	3.84375	10.6875	15.375	8.4375	13.125	18.28125	3.84375	10.6875	15	8.71875	13.125	18.1875
-35	3.84375	6.375	10.6875	5.90625	8.53125	13.21875	3.84375	6.375	10.875	5.90625	9	13.59375
-30	3.65625	6.65625	10.875	5.53125	8.53125	13.3125	3.84375	10.59375	15.46875	8.8125	13.96875	19.3125
-25	3.5625	6.65625	10.96875	5.25	9.46875	13.5	3.75	10.3125	15.75	8.4375	14.4375	20.0625
-20	3.375	6.5625	10.96875	5.0625	9.28125	19.21875	3.75	9.9375	12.375	8.0625	11.4375	15.46875
-15	3.28125	6.46875	11.34375	4.96875	9.9375	17.4375	3.75	9.75	12.65625	7.96875	11.34375	15.75
-10	3.09375	6.84375	8.15625	5.53125	7.59375	9.75	4.03125	9.65625	13.125	7.875	11.4375	16.125
-5	3.09375	7.59375	9.84375	5.625	9	11.25	4.21875	9.65625	13.125	7.875	11.53125	17.34375
0	3.84375	9.46875	13.03125	5.625	11.8125	18	4.5	9.75	13.3125	7.875	11.71875	17.625
5	3.84375	8.53125	10.03125	5.71875	8.90625	11.8125	4.59375	9.75	13.3125	7.875	11.8125	18.5625
10	3.75	7.96875	9.9375	6.28125	8.4375	12	4.5	9.75	13.875	7.875	12	19.5
15	3.75	6.9375	10.03125	6.28125	7.78125	12.28125	4.5	9.9375	13.5	7.875	12.09375	14.15625
20	3.65625	10.125	14.625	7.96875	12.75	16.875	4.5	9.84375	14.71875	8.0625	12.375	20.53125
25	4.03125	10.03125	14.625	8.4375	13.21875	16.6875	4.59375	9.84375	14.71875	8.25	12.75	20.71875
30	4.03125	10.03125	14.53125	8.4375	13.21875	16.59375	4.5	9.75	14.8125	8.15625	12.9375	20.53125
35	4.03125	10.125	14.53125	8.4375	13.3125	16.59375	4.40625	9.75	14.90625	8.15625	13.6875	20.34375
40	4.125	10.125	14.4375	8.71875	13.125	16.40625	4.3125	9.9375	14.15625	8.53125	13.59375	14.90625
45	4.3125	10.125	14.0625	8.8125	13.125	16.125	4.21875	9.9375	16.21875	8.625	15	17.625
50	4.78125	7.875	9.9375	7.3125	8.90625	13.21875	4.21875	5.0625	9.46875	4.96875	7.40625	16.6875
55	4.6875	7.6875	9.9375	7.21875	8.90625	13.5	5.0625	8.4375	9.1875	7.40625	8.90625	14.0625
60	4.6875	7.59375	10.03125	7.125	8.90625	13.875	4.96875	7.875	9.65625	7.40625	9.09375	14.25
65	4.59375	7.3125	10.03125	7.03125	9	13.96875	4.875	7.78125	9.65625	7.3125	8.90625	14.15625
70	4.59375	10.03125	15.46875	9	14.0625	19.5	4.875	7.5	9.65625	7.21875	8.8125	14.15625
75	4.5	9.9375	15.28125	8.90625	14.0625	19.40625	4.78125	9.46875	18.46875	9.09375	17.8125	21
80	4.3125	6.9375	9.9375	6.5625	9.1875	14.15625	4.3125	14.53125	18.5625	14.34375	17.90625	20.90625
85	4.21875	7.03125	9.9375	6.46875	9.28125	14.25	4.3125	11.90625	14.625	11.34375	14.4375	20.8125
90	4.21875	7.03125	9.75	6.5625	9.1875	14.34375	4.3125	12.09375	21.28125	11.25	20.25	21.9375
