Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	4.21875	10.3125	13.40625	7.6875	12.46875	15.5625	5.34375	8.625	10.875	4.6875	7.96875	9.28125
-35	4.21875	10.40625	13.59375	7.96875	12.5625	15.9375	5.90625	11.25	15.28125	5.0625	8.8125	13.96875
-30	4.3125	10.40625	14.625	8.25	12.75	16.125	6.375	8.0625	10.40625	5.4375	7.78125	9
-25	4.40625	10.59375	14.0625	8.8125	12.9375	15.84375	4.78125	6.84375	10.59375	4.5	5.90625	8.4375
-20	4.40625	5.625	10.59375	5.25	9	13.125	3.1875	5.34375	7.6875	4.78125	6.84375	8.90625
-15	4.5	5.8125	11.15625	4.96875	10.21875	13.21875	3.46875	5.90625	10.5	5.25	7.78125	15.75
-10	5.625	11.25	13.96875	10.5	13.3125	14.4375	3.84375	10.96875	17.53125	8.8125	15.5625	20.53125
-5	5.4375	11.4375	14.4375	11.0625	13.3125	14.71875	4.21875	7.78125	10.5	7.40625	8.90625	16.40625
0	5.34375	14.15625	21.09375	13.03125	14.625	14.625	4.96875	11.0625	13.59375	3.09375	9.46875	12.375
5	5.4375	9.375	14.34375	8.8125	12.375	15.28125	5.71875	9.84375	12.1875	4.5	8.625	10.5
10	5.4375	14.34375	20.8125	12.375	15.46875	23.34375	5.90625	10.78125	13.40625	4.59375	9	11.625
15	5.15625	9.75	14.4375	8.71875	12.5625	15.5625	5.8125	10.3125	13.3125	4.5	8.71875	12.28125
20	4.875	9.75	14.34375	8.625	12.84375	15.9375	5.625	12.65625	14.53125	3.65625	11.71875	13.6875
25	4.59375	9.75	14.625	8.625	13.21875	15.5625	4.5	9.75	12.28125	3.1875	9.09375	11.34375
30	4.5	9.75	17.15625	8.34375	14.90625	22.125	4.3125	12.9375	20.53125	11.53125	17.8125	22.125
35	4.59375	9.9375	17.625	8.15625	14.25	21.46875	4.3125	12.65625	14.25	10.96875	13.96875	16.3125
40	4.59375	9.9375	16.875	8.90625	14.0625	21	4.40625	12.375	16.5	11.4375	15.75	18
45	4.59375	9.9375	15.5625	8.8125	13.96875	16.3125	4.5	12.46875	16.40625	11.8125	16.3125	18.375
50	4.6875	7.875	15.375	7.21875	14.0625	20.53125	3	4.78125	11.90625	3.375	11.15625	18.5625
55	4.6875	7.6875	15.375	7.21875	14.0625	16.125	4.6875	14.34375	21.1875	3.28125	13.96875	18.5625
60	4.6875	7.3125	9.84375	7.21875	9.46875	14.15625	4.59375	12.09375	20.4375	11.4375	18.65625	23.25
65	4.59375	9.75	15.1875	9.375	14.25	19.40625	4.59375	21.28125	21.28125	18.65625	23.71875	23.71875
70	4.59375	9.84375	14.8125	9.1875	14.15625	15.84375	4.59375	12.09375	14.71875	11.90625	14.4375	16.21875
75	4.59375	9.84375	14.90625	9.09375	14.15625	19.21875	4.59375	12.09375	20.90625	11.53125	19.78125	19.78125
80	4.3125	7.03125	9.75	6.5625	9.28125	14.25	4.21875	12.09375	21.28125	11.4375	20.34375	22.78125
85	4.3125	7.03125	9.84375	6.5625	9.28125	14.25	4.3125	12.1875	21.09375	11.25	19.875	22.5
90	4.21875	7.03125	9.84375	6.65625	9.1875	14.25	4.3125	12.1875	21.28125	11.25	20.15625	22.40625
