Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	6.09375	7.78125	9.46875	5.53125	7.21875	8.4375	4.40625	10.125	14.8125	7.6875	12.84375	16.96875
-35	6.5625	8.34375	10.125	5.71875	7.6875	9	4.5	10.40625	15	8.0625	13.21875	17.34375
-30	3.09375	7.125	10.78125	6.28125	8.25	13.59375	4.78125	10.3125	15	8.34375	13.59375	17.53125
-25	3.28125	5.8125	7.78125	5.0625	6.9375	8.8125	5.71875	11.34375	14.625	8.53125	13.96875	17.71875
-20	3.5625	6.46875	8.71875	5.625	7.6875	9.5625	5.8125	9.9375	11.8125	8.625	10.875	17.0625
-15	3.9375	7.125	10.125	6.46875	8.53125	14.25	5.90625	9.28125	12.46875	8.53125	10.875	16.6875
-10	4.3125	8.4375	10.78125	7.40625	9.5625	13.40625	5.71875	12.65625	19.21875	11.25	16.59375	19.78125
-5	10.21875	16.125	18.09375	8.25	15.46875	16.59375	5.625	13.21875	19.40625	11.53125	16.875	19.96875
0	3.375	7.21875	10.78125	6.09375	9.28125	16.21875	5.625	9.65625	13.40625	9.09375	11.8125	17.0625
5	3.84375	9.75	13.59375	7.5	11.8125	18.09375	5.71875	9.46875	13.5	8.53125	12	17.25
10	4.03125	9.84375	17.90625	8.71875	16.5	19.3125	5.71875	9.5625	13.6875	8.4375	12.375	17.25
15	4.03125	9.84375	17.4375	9.1875	16.78125	19.3125	5.71875	9.5625	14.25	8.34375	13.125	17.25
20	4.40625	15.09375	17.0625	13.96875	16.78125	18.9375	6	9.5625	14.34375	8.34375	13.3125	16.78125
25	4.40625	9.9375	15.46875	8.90625	13.875	17.625	5.90625	9.65625	14.34375	8.34375	13.875	16.21875
30	4.125	15.84375	21.9375	13.96875	20.53125	22.875	5.625	9.5625	20.53125	8.15625	15.9375	23.15625
35	3.84375	10.125	19.96875	9	19.6875	20.53125	5.4375	9.75	19.21875	7.96875	16.78125	22.125
40	3.28125	8.90625	14.4375	8.15625	13.3125	16.21875	5.25	9.75	18.84375	7.78125	16.78125	22.03125
45	3	4.125	9.9375	3.9375	9.1875	13.96875	4.96875	9.75	15	8.4375	14.15625	16.5
50	4.21875	14.71875	17.25	3.65625	14.0625	16.40625	5.0625	7.78125	9.1875	7.21875	8.4375	13.96875
55	4.5	9.84375	17.25	3.375	9.46875	16.59375	4.875	7.5	15	7.3125	13.875	18.09375
60	4.5	7.3125	14.625	3.09375	7.21875	13.875	4.875	15	17.25	13.96875	16.5	18.46875
65	4.40625	9.9375	22.21875	9.28125	19.21875	22.78125	4.875	14.90625	18.5625	14.0625	17.90625	20.8125
70	4.40625	9.84375	14.90625	9.1875	14.0625	16.21875	4.875	14.8125	18.46875	14.15625	18.1875	20.25
75	4.3125	9.75	14.53125	9.1875	14.34375	19.3125	4.875	14.8125	23.15625	14.15625	20.15625	20.15625
80	4.21875	9.75	14.8125	9.375	14.25	19.3125	4.40625	12	14.71875	11.4375	14.34375	20.15625
85	4.21875	9.84375	14.53125	9.28125	14.34375	19.3125	4.40625	6.84375	12.09375	6.75	11.34375	14.25
90	4.21875	6.9375	14.8125	6.75	14.34375	16.59375	4.3125	12.1875	14.625	11.4375	14.4375	20.15625
