Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	4.125	9.5625	11.4375	7.59375	11.25	13.6875	3.84375	10.875	15.09375	9	13.40625	19.5
-35	4.125	9.65625	11.625	8.25	10.6875	13.6875	3.9375	10.78125	14.90625	8.8125	13.5	19.125
-30	4.03125	9.65625	11.8125	8.34375	10.59375	13.40625	3.84375	10.6875	14.71875	8.71875	13.78125	18.5625
-25	3.9375	9.5625	11.53125	8.4375	10.5	13.5	3.75	10.59375	17.15625	8.625	16.96875	18.1875
-20	3.9375	12.46875	15	10.125	13.3125	20.8125	3.65625	10.5	17.4375	8.53125	17.25	18.1875
-15	3.9375	12.84375	15.09375	9.84375	13.6875	18.84375	3.5625	10.5	19.3125	8.53125	17.34375	19.96875
-10	4.5	13.03125	15	10.03125	13.5	16.6875	3.5625	10.875	20.90625	8.8125	16.96875	16.96875
-5	4.59375	11.0625	13.03125	9.9375	12	14.15625	3.5625	10.875	19.5	8.71875	16.96875	19.59375
0	4.5	9.75	12.9375	9.1875	11.71875	14.0625	3.75	10.6875	13.03125	8.90625	11.90625	16.96875
5	4.3125	12.84375	15.5625	12.09375	14.34375	16.21875	4.03125	10.78125	12.9375	9.09375	11.34375	17.0625
10	4.3125	12.84375	15.5625	11.8125	14.53125	19.21875	4.03125	10.78125	13.03125	9.1875	11.0625	17.15625
15	4.5	15	16.6875	14.25	16.21875	19.5	4.03125	13.03125	19.21875	9.28125	17.25	20.0625
20	4.5	15	17.34375	13.6875	16.59375	20.4375	3.9375	13.59375	19.21875	9.5625	17.4375	17.4375
25	4.5	14.625	17.625	13.40625	16.59375	20.4375	3.9375	13.40625	19.5	9.65625	17.8125	22.78125
30	4.40625	9.375	14.4375	9.28125	12.9375	16.40625	4.03125	10.125	13.3125	9.9375	10.6875	17.53125
35	4.3125	13.125	17.4375	12.9375	16.3125	19.96875	4.125	14.34375	19.6875	10.3125	17.8125	22.6875
40	4.3125	9.84375	12.9375	9.46875	12.65625	16.3125	4.21875	13.3125	16.96875	10.59375	16.5	17.90625
45	4.40625	9.84375	17.25	9.09375	16.125	19.3125	4.21875	12.84375	16.59375	10.875	15.9375	17.71875
50	4.6875	17.25	22.78125	16.125	19.03125	19.03125	4.125	12.84375	16.78125	10.96875	15.9375	17.90625
55	4.59375	7.59375	17.0625	7.5	16.03125	18.84375	4.78125	12.5625	16.5	11.0625	15.65625	18.28125
60	4.59375	17.0625	22.6875	16.03125	18.84375	18.84375	4.78125	12.5625	16.59375	11.4375	15.84375	18.46875
65	4.59375	9.65625	16.96875	9.5625	16.125	18.75	4.78125	12.46875	16.21875	11.34375	15.9375	18.46875
70	4.59375	9.84375	16.78125	9.28125	16.125	18.84375	4.6875	12.1875	21	11.625	18.28125	22.78125
75	4.59375	9.84375	16.78125	9.1875	16.40625	18.9375	4.6875	12.28125	20.90625	11.4375	18.28125	18.28125
80	4.21875	7.03125	9.75	6.75	9.375	19.03125	4.21875	12.1875	21	11.25	18.5625	22.78125
85	4.21875	6.9375	9.84375	6.65625	9.28125	19.21875	4.3125	12.09375	20.90625	11.25	19.5	22.40625
90	4.21875	7.03125	9.84375	6.65625	9.1875	14.25	4.3125	12.1875	21.28125	11.25	20.0625	22.5
