Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	4.125	11.15625	15.1875	8.90625	13.6875	20.4375	4.03125	10.96875	14.90625	8.8125	13.59375	19.125
-35	4.03125	11.15625	15.09375	8.53125	13.59375	19.59375	3.9375	10.875	14.53125	8.71875	13.59375	18.5625
-30	3.9375	10.96875	14.90625	8.15625	13.40625	19.59375	3.84375	10.6875	19.6875	8.625	18.375	20.71875
-25	3.84375	10.96875	14.625	8.0625	13.3125	19.5	3.75	10.6875	19.78125	8.53125	18.375	18.375
-20	3.75	10.96875	14.4375	8.90625	13.3125	18.65625	3.65625	10.6875	19.78125	8.4375	17.71875	20.625
-15	3.75	10.875	14.53125	8.71875	13.875	18.46875	3.65625	10.6875	20.90625	8.625	17.0625	17.0625
-10	4.125	10.96875	14.25	8.4375	13.03125	18.5625	3.75	10.78125	20.8125	8.71875	16.96875	16.96875
-5	4.40625	11.0625	13.6875	9.1875	12.75	18.5625	3.84375	10.6875	12.84375	8.8125	12	16.96875
0	4.3125	10.875	14.15625	9.09375	12.375	18.5625	4.3125	10.875	12.9375	8.90625	11.53125	17.0625
5	4.21875	10.875	13.6875	8.90625	12.5625	18.75	4.3125	10.96875	12.9375	9	11.34375	17.0625
10	4.21875	10.875	13.21875	9.5625	12	18.84375	4.3125	13.03125	19.875	9.09375	17.25	17.25
15	4.40625	10.78125	12.46875	9.375	11.8125	14.0625	4.21875	13.03125	19.21875	9.28125	17.34375	19.875
20	4.5	10.78125	14.8125	9.84375	13.125	16.6875	4.21875	10.6875	13.96875	9.46875	11.25	17.53125
25	4.5	10.78125	14.8125	10.125	13.40625	16.5	4.40625	10.40625	14.34375	9.75	10.78125	17.625
30	4.5	14.625	17.34375	12.9375	16.59375	19.5	4.40625	13.875	19.21875	10.125	17.625	23.0625
35	4.40625	13.6875	17.4375	12.46875	16.40625	19.5	4.21875	13.78125	19.59375	10.3125	17.71875	17.71875
40	4.40625	13.03125	17.53125	12.375	16.3125	19.125	4.21875	13.125	17.0625	10.5	16.40625	18.09375
45	4.40625	17.34375	22.875	16.21875	18.65625	18.65625	4.125	13.03125	16.40625	10.96875	16.21875	17.4375
50	4.6875	17.25	22.6875	16.21875	18.46875	18.46875	4.125	12.9375	16.78125	10.875	15.9375	17.71875
55	4.59375	17.0625	22.6875	16.125	18.375	18.375	4.96875	12.5625	16.5	11.0625	15.65625	18.09375
60	4.59375	17.0625	22.78125	16.03125	18.46875	18.46875	4.875	12.5625	16.59375	11.25	15.75	18.375
65	4.5	9.65625	17.0625	9.375	16.03125	18.5625	4.78125	12.46875	16.3125	11.25	15.84375	18.375
70	4.5	9.84375	16.875	9.28125	16.125	18.65625	4.6875	12.28125	20.90625	11.4375	18.28125	22.78125
75	4.5	9.84375	16.875	9.1875	16.3125	18.75	4.6875	12.375	20.90625	11.4375	18.28125	18.28125
80	4.21875	9.75	22.3125	9.375	18.9375	18.9375	4.21875	12.1875	21.09375	11.25	18.46875	22.59375
85	4.21875	9.84375	22.875	9.28125	19.125	19.125	4.21875	12.09375	20.90625	11.25	19.40625	22.40625
90	4.21875	6.9375	9.75	6.65625	9.1875	14.34375	4.3125	12.1875	21.28125	11.25	20.0625	22.40625
