Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	4.125	11.34375	15.375	8.0625	13.6875	20.25	3.9375	10.875	15	8.8125	13.5	19.125
-35	4.125	11.25	15.28125	8.4375	13.6875	20.71875	3.9375	10.78125	14.625	8.71875	13.5	18.75
-30	4.03125	11.0625	15.09375	8.15625	13.5	20.34375	3.84375	10.6875	14.25	8.625	14.0625	18.28125
-25	3.84375	10.96875	14.8125	8.0625	13.5	20.34375	3.75	10.59375	19.875	8.53125	18.1875	18.1875
-20	3.84375	11.0625	14.71875	9.1875	13.6875	20.4375	3.75	10.59375	19.5	8.53125	18.09375	20.25
-15	3.75	10.875	14.71875	8.8125	13.875	18.65625	3.65625	10.6875	19.40625	8.625	17.15625	19.875
-10	4.40625	11.15625	14.4375	8.4375	13.40625	18.65625	3.75	10.875	20.8125	8.71875	17.0625	17.0625
-5	4.5	11.0625	19.59375	9.375	18.84375	20.71875	3.65625	10.6875	12.5625	8.71875	12	16.96875
0	4.40625	10.78125	19.78125	9.09375	18.84375	21	4.21875	10.875	13.03125	8.90625	11.625	16.96875
5	4.3125	10.6875	15	9.1875	14.25	16.5	4.3125	10.875	12.9375	9.09375	11.25	17.0625
10	4.3125	10.78125	12.75	9.65625	12.1875	13.875	4.21875	13.03125	19.96875	9.09375	17.15625	17.15625
15	4.5	10.5	14.90625	9.375	13.125	16.5	4.125	13.03125	19.21875	9.375	17.34375	19.78125
20	4.59375	14.71875	17.34375	12.65625	16.6875	19.3125	3.9375	13.6875	19.40625	9.46875	17.53125	17.53125
25	4.5	14.71875	17.4375	12.28125	16.5	19.59375	3.9375	10.40625	13.40625	9.65625	10.875	13.875
30	4.40625	14.34375	17.34375	12.5625	16.5	19.6875	4.21875	10.125	13.78125	10.03125	10.3125	17.53125
35	4.40625	13.03125	17.34375	12.375	16.3125	19.5	4.21875	14.15625	19.6875	10.40625	17.8125	17.8125
40	4.40625	17.4375	22.875	16.3125	19.21875	19.21875	4.125	13.21875	17.15625	10.59375	16.40625	18
45	4.40625	9.84375	17.34375	9.46875	16.21875	18.75	4.125	12.9375	16.5	10.875	16.03125	17.625
50	4.6875	17.25	22.78125	16.21875	18.65625	18.65625	4.03125	12.9375	16.78125	10.875	15.9375	17.8125
55	4.59375	17.0625	22.78125	16.125	18.5625	18.5625	4.875	12.65625	16.5	11.0625	15.65625	18.09375
60	4.59375	9.46875	17.15625	9.375	16.03125	18.5625	4.875	12.5625	16.59375	11.34375	15.75	18.375
65	4.5	9.65625	17.0625	9.46875	16.125	18.5625	4.78125	12.46875	16.3125	11.25	15.84375	18.375
70	4.5	9.84375	16.875	9.375	16.125	18.65625	4.6875	12.28125	20.90625	11.53125	18.28125	18.28125
75	4.5	9.84375	16.875	9.1875	16.3125	18.84375	4.6875	12.375	20.90625	11.4375	18.28125	22.78125
80	4.21875	9.75	22.3125	9.375	19.03125	19.03125	4.21875	12.1875	21.09375	11.25	18.46875	22.59375
85	4.21875	6.9375	9.84375	6.75	9.28125	19.125	4.21875	12.09375	20.90625	11.25	19.40625	22.40625
90	4.21875	7.03125	9.84375	6.65625	9.1875	14.34375	4.3125	12.1875	21.28125	11.25	20.0625	22.40625
