Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	3.84375	10.5	15	8.25	12.65625	17.53125	4.03125	10.59375	15.28125	8.34375	13.5	19.03125
-35	3.84375	10.59375	15	8.4375	12.9375	18	3.9375	5.90625	10.875	5.34375	8.4375	13.6875
-30	3.84375	10.5	15.09375	8.25	13.21875	18.46875	3.75	6.375	10.78125	5.25	8.4375	13.96875
-25	3.84375	10.40625	15.28125	7.96875	13.21875	18.65625	3.46875	6.46875	10.96875	4.96875	9.1875	16.3125
-20	3.84375	10.3125	15.1875	7.78125	13.3125	19.03125	3.28125	6.375	10.3125	4.78125	8.90625	11.15625
-15	3.75	10.21875	15.09375	7.875	14.0625	19.59375	3.1875	6.28125	9.1875	4.59375	8.15625	10.875
-10	3.84375	10.03125	20.71875	7.96875	19.40625	23.53125	3	6.46875	8.0625	4.5	7.78125	9.5625
-5	3.75	10.03125	19.125	8.0625	18.75	19.59375	6.65625	9.5625	13.3125	5.15625	8.625	11.53125
0	3.84375	9.9375	12.28125	7.96875	11.71875	16.875	6.46875	9.1875	13.5	5.0625	7.78125	11.8125
5	4.5	9.9375	12.46875	7.96875	11.53125	16.96875	3.65625	6.75	8.34375	3.09375	5.0625	6.84375
10	4.5	9.84375	12.65625	8.25	11.71875	18.46875	3.5625	7.59375	9.75	5.0625	8.4375	12.28125
15	4.3125	9.84375	13.125	8.15625	11.8125	18.84375	3.46875	7.03125	9.75	5.625	7.96875	12.84375
20	4.3125	9.9375	14.4375	8.625	12.09375	19.125	3.375	6.75	9.9375	5.53125	7.78125	13.21875
25	4.40625	9.9375	14.15625	8.71875	12.46875	16.59375	3.375	6.28125	9.84375	5.53125	8.53125	13.5
30	4.40625	9.75	13.78125	8.625	12.65625	16.59375	4.03125	9.75	16.40625	8.34375	15.46875	20.53125
35	4.3125	10.03125	13.59375	8.53125	12.65625	16.3125	4.03125	9.75	16.40625	8.25	15.75	20.53125
40	4.21875	10.125	13.875	9.09375	13.03125	16.21875	4.125	9.84375	16.21875	8.25	15.5625	20.4375
45	4.125	10.125	14.34375	8.90625	13.21875	16.125	4.875	9.84375	16.59375	8.625	15.46875	18.1875
50	4.03125	10.03125	14.4375	9.1875	13.5	18	5.0625	8.0625	9.46875	7.3125	8.625	15.09375
55	4.21875	10.03125	15.5625	9.1875	13.875	19.6875	4.96875	7.875	9.46875	7.21875	8.625	14.625
60	4.6875	7.875	9.9375	7.3125	9	13.875	4.96875	7.59375	9.5625	7.21875	8.71875	14.34375
65	4.6875	7.5	9.9375	7.3125	8.90625	13.96875	4.875	7.40625	9.65625	7.03125	8.8125	14.25
70	4.59375	10.03125	15.28125	8.90625	13.96875	19.5	4.875	9.75	14.71875	8.90625	14.25	18.09375
75	4.59375	9.9375	15.09375	9	13.96875	19.5	4.875	9.65625	14.90625	8.90625	14.25	20.53125
80	4.21875	7.03125	9.9375	6.5625	9.28125	14.15625	4.40625	14.71875	23.0625	14.34375	20.53125	20.53125
85	4.21875	7.03125	9.84375	6.5625	9.1875	14.25	4.40625	6.9375	12	6.65625	11.34375	14.34375
90	4.21875	7.03125	9.65625	6.65625	9.375	14.34375	4.3125	12.09375	21.46875	11.34375	20.25	22.125
