Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	3.9375	10.875	14.71875	8.625	13.78125	19.03125	3.9375	10.96875	15	9	13.6875	19.21875
-35	3.9375	10.875	14.53125	8.53125	13.875	18.84375	3.9375	11.0625	14.8125	8.8125	13.78125	19.03125
-30	3.9375	10.875	14.15625	8.53125	13.5	18.65625	3.84375	10.875	14.53125	8.625	13.78125	18.65625
-25	3.84375	10.78125	14.34375	8.25	13.40625	18.375	3.75	10.78125	21.28125	8.4375	18.5625	18.5625
-20	3.84375	10.78125	14.0625	8.15625	13.5	18.09375	3.75	10.78125	21.84375	8.53125	17.34375	17.34375
-15	3.84375	10.78125	22.3125	8.53125	18.09375	18.09375	3.75	10.78125	21.09375	8.625	17.25	17.25
-10	4.03125	10.875	14.0625	8.53125	13.125	18.09375	4.03125	10.875	13.21875	8.625	12	17.25
-5	4.21875	10.78125	13.96875	8.53125	13.125	18.1875	4.21875	13.21875	19.21875	8.90625	17.25	19.78125
0	4.3125	10.875	14.15625	8.71875	13.03125	18.1875	4.21875	13.21875	19.21875	9.09375	17.34375	19.96875
5	4.21875	10.875	14.34375	8.90625	12.9375	18.28125	4.125	13.21875	19.40625	9.09375	17.4375	19.875
10	4.125	10.875	14.53125	9	12.84375	18.375	4.125	13.21875	19.875	9.375	17.625	17.625
15	4.125	10.96875	14.625	9.1875	12.75	18.5625	4.125	13.21875	20.625	9.46875	17.71875	17.71875
20	4.03125	11.0625	12	9.375	11.8125	12.9375	4.21875	14.34375	19.5	9.75	17.8125	20.0625
25	4.125	11.8125	14.53125	9.46875	13.125	16.6875	4.40625	14.34375	20.4375	10.03125	18.09375	18.09375
30	4.21875	11.25	14.8125	9.84375	13.40625	16.5	4.40625	14.25	20.25	10.5	17.90625	17.90625
35	4.21875	10.875	14.4375	10.03125	13.5	16.5	4.3125	13.875	19.78125	10.5	17.8125	17.8125
40	4.21875	13.125	17.4375	12.46875	16.40625	18.9375	4.3125	13.125	16.6875	10.78125	16.21875	17.8125
45	4.21875	12.375	17.34375	12.1875	16.3125	18.375	4.40625	12.9375	16.78125	10.96875	16.125	17.90625
50	4.3125	17.0625	22.6875	16.125	18.28125	18.28125	5.0625	12.9375	16.59375	11.0625	15.9375	17.71875
55	4.59375	17.0625	22.6875	16.125	18.28125	18.28125	4.96875	12.75	16.59375	11.0625	15.75	18
60	4.59375	16.875	22.78125	15.9375	18.28125	18.28125	4.875	12.46875	16.40625	11.15625	15.75	18.1875
65	4.5	16.96875	22.96875	16.03125	18.375	18.375	4.78125	12.375	16.21875	11.34375	15.9375	18.09375
70	4.5	9.65625	16.96875	9.46875	16.03125	18.46875	4.6875	12.375	21	11.4375	18.1875	22.875
75	4.40625	9.75	16.875	9.1875	16.21875	18.5625	4.6875	12.28125	21	11.34375	18.28125	22.96875
80	4.125	16.6875	22.125	16.5	18.84375	22.875	4.21875	12.1875	21.1875	11.25	18.65625	22.5
85	4.125	9.75	22.78125	9.28125	19.125	19.125	4.21875	12.09375	20.71875	11.25	19.40625	22.5
90	4.21875	9.65625	14.71875	9.28125	14.34375	19.3125	4.3125	12.09375	21.1875	11.25	20.0625	22.125
