Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	4.125	10.21875	16.21875	7.59375	14.0625	17.53125	3.46875	6	10.96875	5.8125	9.1875	13.03125
-35	4.125	10.3125	16.03125	7.875	13.78125	17.4375	3.5625	6.28125	10.875	5.90625	9.1875	13.3125
-30	4.21875	10.3125	15.375	8.25	13.78125	16.40625	3.65625	10.78125	15.5625	8.8125	14.0625	17.0625
-25	4.21875	10.3125	13.125	8.71875	12.46875	13.59375	3.75	10.6875	15.28125	8.71875	14.34375	14.34375
-20	4.21875	10.125	13.40625	8.71875	12.1875	13.96875	3.84375	10.6875	14.8125	8.71875	14.15625	18.75
-15	4.125	13.5	17.53125	12	13.875	19.03125	3.9375	10.5	19.59375	8.34375	18.28125	20.34375
-10	4.59375	11.15625	13.78125	11.0625	11.8125	14.0625	4.03125	10.6875	19.125	8.8125	17.625	20.15625
-5	4.96875	13.5	17.25	11.34375	14.0625	19.125	3.65625	10.3125	18.65625	9	16.6875	19.875
0	4.78125	13.6875	16.125	11.71875	14.625	16.3125	3.5625	12.09375	19.40625	8.90625	16.96875	19.96875
5	4.6875	13.5	17.625	12	14.625	19.3125	3.46875	6	10.78125	5.625	8.15625	12.5625
10	4.875	13.59375	17.625	12.09375	15	23.0625	3.5625	6.28125	10.6875	5.4375	9.09375	12.28125
15	4.78125	9.5625	13.59375	8.71875	12.28125	15.84375	3.65625	6.375	9.84375	5.53125	9.1875	11.25
20	4.6875	9.84375	14.4375	9	12.46875	16.5	3.84375	6.28125	9.84375	5.71875	9.1875	10.875
25	4.6875	9.75	14.53125	8.8125	12.9375	16.3125	4.03125	14.25	19.40625	10.875	17.4375	17.4375
30	4.59375	9.5625	14.71875	8.53125	13.40625	16.21875	4.03125	13.21875	19.03125	11.25	17.0625	23.53125
35	4.6875	8.90625	9.84375	8.4375	9.1875	13.96875	4.125	12.9375	19.875	10.96875	17.71875	17.71875
40	4.78125	9.9375	14.90625	9	14.0625	16.125	4.21875	12.84375	16.6875	10.6875	16.03125	18.09375
45	4.6875	9.84375	14.8125	8.90625	13.96875	16.3125	4.21875	12.84375	16.6875	11.4375	16.03125	17.53125
50	4.78125	7.875	15.09375	7.3125	14.15625	16.3125	4.3125	12.375	16.6875	11.0625	16.03125	17.71875
55	4.78125	7.6875	15	7.21875	14.15625	16.03125	4.40625	12.28125	16.125	11.53125	15.65625	18.5625
60	4.78125	7.40625	9.65625	7.125	9.46875	14.25	4.6875	12.375	16.40625	11.71875	16.03125	18.46875
65	4.6875	7.3125	9.84375	6.9375	9.375	14.25	4.6875	12.28125	21.1875	11.4375	18.28125	22.6875
70	4.6875	9.84375	14.71875	9.1875	14.25	16.03125	4.6875	12.09375	16.5	11.90625	16.125	18.375
75	4.59375	9.84375	14.8125	9.09375	14.25	19.21875	4.59375	12.28125	20.8125	11.4375	18.375	18.375
80	4.3125	7.03125	9.75	6.65625	9.375	14.25	4.21875	12.09375	19.21875	11.34375	18.65625	19.59375
85	4.21875	7.03125	9.84375	6.5625	9.28125	14.25	4.3125	12.1875	21	11.25	19.6875	22.59375
90	4.21875	7.03125	9.84375	6.65625	9.1875	14.25	4.3125	12.1875	21.28125	11.25	20.0625	22.5
