Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	4.21875	10.40625	13.875	7.78125	12.46875	16.03125	5.90625	7.78125	11.25	5.15625	7.125	9
-35	4.3125	10.40625	14.625	8.0625	12.65625	16.40625	6.375	8.4375	10.5	5.4375	7.59375	9.5625
-30	4.3125	10.5	14.8125	8.34375	12.9375	16.5	6.75	10.5	12.84375	5.90625	8.15625	11.4375
-25	4.5	5.625	10.6875	5.34375	8.8125	13.03125	3.1875	5.25	7.5	4.875	6.5625	9.09375
-20	4.6875	5.71875	10.6875	4.875	9	13.3125	3.375	6.09375	10.21875	5.25	7.5	11.625
-15	5.8125	11.15625	13.96875	10.125	13.5	14.90625	3.65625	6.75	10.78125	6	9	13.3125
-10	5.625	11.15625	13.96875	10.3125	13.59375	14.8125	4.125	9.9375	15.65625	7.03125	14.25	20.0625
-5	5.53125	21.5625	21.5625	15	22.875	22.875	4.59375	10.6875	20.0625	8.34375	18.09375	22.6875
0	5.4375	21.1875	21.1875	14.90625	14.90625	14.90625	5.8125	9.75	13.125	5.15625	8.4375	11.71875
5	5.53125	9.46875	14.34375	8.8125	13.40625	15.375	6.9375	10.03125	12.5625	5.90625	7.78125	12.1875
10	5.53125	9.5625	14.34375	9.1875	12.375	15.65625	3.1875	11.8125	19.40625	10.03125	17.53125	22.21875
15	5.34375	9.75	14.34375	8.71875	12.65625	15.5625	9.09375	17.8125	20.34375	7.59375	16.96875	18.84375
20	5.34375	9.75	14.34375	8.625	12.84375	15.46875	10.03125	12.84375	14.90625	8.4375	11.90625	14.0625
25	4.6875	5.53125	9.75	5.15625	8.625	13.21875	4.3125	10.21875	12.75	3.28125	9.46875	10.78125
30	4.59375	9.75	17.0625	8.34375	14.8125	18.1875	4.21875	12.84375	16.5	10.96875	15.84375	18.46875
35	4.5	9.9375	17.90625	8.0625	14.4375	21.5625	4.03125	14.53125	16.5	13.96875	15.9375	17.53125
40	4.59375	8.0625	9.9375	7.96875	8.8125	14.25	3.65625	4.125	15	3.75	14.34375	15.75
45	4.5	9.9375	15.75	8.71875	14.0625	16.40625	3.09375	4.40625	5.53125	3.65625	5.34375	11.625
50	4.6875	7.875	9.46875	7.21875	9	13.96875	4.875	21.5625	21.5625	3.5625	18.65625	18.65625
55	4.59375	7.6875	16.125	7.21875	13.96875	20.34375	4.78125	12.09375	16.875	3.375	11.625	16.3125
60	4.59375	9.75	15.46875	9.46875	14.0625	19.59375	4.6875	14.53125	20.625	3.1875	14.34375	18.84375
65	4.59375	9.84375	15.28125	9.375	14.15625	19.40625	4.59375	18	20.0625	17.8125	18.9375	20.4375
70	4.59375	9.84375	14.90625	9.1875	14.15625	15.84375	4.59375	12.09375	14.8125	11.8125	14.34375	16.125
75	4.59375	9.84375	14.90625	9.09375	14.15625	19.21875	4.59375	11.90625	18.375	11.625	18.09375	19.96875
80	4.3125	7.03125	9.75	6.5625	9.28125	14.25	4.21875	12.09375	21.28125	11.53125	20.4375	22.6875
85	4.3125	7.03125	9.84375	6.46875	9.28125	14.15625	4.3125	12.1875	21.09375	11.25	19.875	22.40625
90	4.21875	7.03125	9.84375	6.65625	9.1875	14.25	4.3125	12.1875	21.28125	11.25	20.15625	22.40625
