Ele	P1_L	P2_L	P3_L	N1_L	N2_L	N3_L	P1_R	P2_R	P3_R	N1_R	N2_R	N3_R
-40	5.90625	8.53125	11.15625	5.25	7.3125	9.5625	4.3125	10.03125	14.4375	7.59375	12.5625	16.125
-35	6.28125	8.34375	11.8125	5.4375	7.59375	9.1875	4.3125	10.21875	14.625	8.0625	12.84375	16.40625
-30	6.75	10.59375	16.6875	5.90625	8.0625	16.125	4.40625	10.03125	14.8125	8.34375	13.40625	16.5
-25	3.1875	7.5	10.875	6.65625	8.8125	13.125	4.6875	10.125	14.4375	8.625	13.59375	16.125
-20	3.46875	6.1875	10.59375	5.4375	7.5	13.875	5.71875	9.75	11.625	8.71875	10.875	15.9375
-15	3.75	6.84375	10.6875	6.1875	8.71875	13.125	5.8125	9	11.90625	8.71875	10.6875	15.375
-10	4.125	10.21875	18.5625	7.125	18	19.21875	5.625	12.46875	18.84375	11.15625	15.5625	19.875
-5	4.3125	10.59375	14.71875	8.15625	14.0625	18.28125	5.625	13.03125	19.125	11.4375	15.75	19.96875
0	10.125	14.53125	18.75	8.34375	13.40625	18.375	5.53125	13.3125	19.40625	11.90625	15.9375	19.875
5	3.1875	7.5	10.3125	6.09375	8.15625	18.75	5.625	9.375	14.15625	8.53125	12.1875	16.125
10	3.28125	8.34375	11.34375	8.15625	9.9375	13.21875	5.625	9	14.34375	8.34375	12.65625	16.21875
15	9.28125	11.34375	15.09375	7.78125	10.59375	14.0625	5.53125	9.5625	14.53125	8.4375	13.21875	16.03125
20	9.9375	15.09375	19.5	9.46875	13.3125	18.375	5.90625	9.5625	14.4375	8.34375	13.6875	16.125
25	4.21875	11.0625	12.46875	3.1875	9.75	11.53125	5.8125	9.5625	16.3125	8.4375	15.09375	16.40625
30	4.125	14.25	17.15625	12.28125	16.21875	18.9375	5.625	9.46875	15.1875	8.25	14.625	15.84375
35	3.9375	14.625	17.0625	13.78125	16.3125	18.375	5.4375	9.65625	15	8.0625	14.53125	17.15625
40	3.46875	15.09375	16.6875	14.53125	15.46875	18.375	5.0625	8.4375	9.75	7.875	8.53125	14.34375
45	3.09375	4.3125	9.65625	3.65625	9.1875	12.28125	4.875	9.65625	15.1875	8.625	14.15625	16.5
50	4.40625	15.28125	21.75	3.5625	14.8125	18.9375	4.96875	7.875	9	7.3125	8.71875	13.96875
55	4.40625	9.84375	14.4375	3.28125	9.375	13.96875	4.875	7.5	15	7.3125	13.875	18.1875
60	4.5	14.90625	17.34375	14.34375	16.59375	18.9375	4.875	15	16.96875	13.96875	16.78125	21.1875
65	4.40625	9.9375	14.25	9.375	13.96875	16.40625	4.875	14.90625	18.5625	14.15625	17.90625	20.34375
70	4.40625	9.75	14.90625	9.1875	14.34375	16.3125	4.875	14.8125	23.0625	14.15625	20.15625	20.15625
75	4.40625	9.75	14.53125	9.1875	14.25	19.125	4.875	14.8125	23.0625	14.15625	20.0625	20.0625
80	4.21875	9.65625	14.71875	9.46875	14.34375	19.21875	4.40625	12	14.71875	11.34375	14.34375	20.0625
85	4.21875	9.84375	14.53125	9.28125	14.34375	16.6875	4.40625	12.09375	14.625	11.34375	14.34375	20.0625
90	4.21875	6.9375	14.8125	6.84375	14.34375	16.59375	4.3125	12.1875	14.625	11.4375	14.4375	20.15625
